table_id,proxy_col,direction,thresh_method,binarize_thresh,n_rows,positive_rate,kept,reason,proxy_quality
AuditRandomForest,Income,POSITIVE,otsu,137497.6244387755,98.0,0.14285714285714285,True,,0.7857
EMPLOYEES_6,SALARY,POSITIVE,otsu,6819.827586206897,107.0,0.4485981308411215,True,,1.0
Parade2005_2,earnings,POSITIVE,otsu,9904195.40229885,130.0,0.06153846153846154,True,,0.6231
draftkings_sea_min_w5,Salary,POSITIVE,otsu,5864.130434782609,84.0,0.30952380952380953,True,,1.0
employee_257,SALARY,POSITIVE,otsu,6819.827586206897,107.0,0.4485981308411215,True,,1.0
employees_105,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,concept_cap,
financing_rates_1,discount_rate,NEGATIVE,otsu,0.10506666666666667,105.0,0.7619047619047619,True,,0.5691
sample_1106,income,POSITIVE,otsu,209291.75945,100.0,0.33,True,,1.0
z_beauty_sleep_tables_licensed_top_1000_IMDB_movies,gross_earning,,,,,,False,high_cardinality,
z_cease_tables_licensed_my_draft_pool_smoothed_adjusted_inflated,Salary,POSITIVE,otsu,15.535714285714285,445.0,0.7438202247191011,False,concept_cap,
z_cease_tables_licensed_my_keeper_data,Salary,POSITIVE,otsu,15.535714285714285,445.0,0.7438202247191011,False,concept_cap,
z_crime_rate_tables_licensed_Factors,Median household income,POSITIVE,otsu,71761.16,50.0,0.3,True,,0.4817
z_crime_rate_tables_licensed_Factors_1,Median household income,POSITIVE,otsu,71761.16,50.0,0.3,False,duplicate,
z_crime_rate_tables_licensed_StandardMetropolitanAreasData_train_data,income,POSITIVE,otsu,18421.621212121212,99.0,0.06060606060606061,True,,0.6212
z_crime_rate_tables_licensed_StateData2,Median Household Income,POSITIVE,otsu,65417.19607843138,51.0,0.4117647058823529,True,,0.3218
z_crime_rate_tables_licensed_US_State_Data,Median Household Income,POSITIVE,otsu,64998.64,50.0,0.42,True,,0.3127
z_crime_rate_tables_licensed_boston_70,lower income levels,,,,,,False,high_cardinality,
z_crime_rate_tables_licensed_neighbourhood_scores,Median_household_income,,,,,,False,high_cardinality,
z_crime_rate_tables_licensed_sheet_1,Median household income,POSITIVE,otsu,59439.06034482759,58.0,0.3448275862068966,False,concept_cap,
z_data_rate_tables_licensed_CompiledData-earnings,Earnings,POSITIVE,otsu,1058.75,343.0,0.6268221574344023,True,,0.1653
z_data_rate_tables_licensed_StockValuations_7,net_income,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_StockValuations_8,net_income,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_construction_top_6_europe_2020,net_income_to_shareholders,NEGATIVE,otsu,1098375000.0,94.0,0.7659574468085106,True,,0.9681
z_dose_rate_tables_licensed_us_states_misc_stats,income_per_capita,POSITIVE,otsu,29559.87254901961,51.0,0.37254901960784315,True,,0.3353
z_growth_rate_tables_licensed_StockValuations_2,net_income,,,,,,False,high_cardinality,
z_growth_rate_tables_licensed_StockValuations_3,net_income,,,,,,False,high_cardinality,
z_growth_rate_tables_licensed_construction_top_6_europe_2020,net_income_to_shareholders,NEGATIVE,otsu,1098375000.0,94.0,0.7659574468085106,False,duplicate,
z_half_life_tables_licensed_top_1000_IMDB_movies,gross_earning,,,,,,False,high_cardinality,
z_id_tables_licensed_1_15904,income,POSITIVE,otsu,73044.36842105263,38.0,0.631578947368421,False,concept_cap,
z_id_tables_licensed_1_16046,income,POSITIVE,otsu,73044.36842105263,38.0,0.631578947368421,False,duplicate,
z_id_tables_licensed_202001,paid,POSITIVE,otsu,0.3333333333333333,32.0,0.65625,True,,0.4688
z_id_tables_licensed_2_54997,income,POSITIVE,otsu,89036.80612244896,49.0,0.30612244897959184,False,concept_cap,
z_id_tables_licensed_5_7028,income,POSITIVE,otsu,72931.22857142857,35.0,0.3142857142857143,False,concept_cap,
z_id_tables_licensed_A_9586,income,POSITIVE,otsu,104385.63636363635,44.0,0.20454545454545456,False,concept_cap,
z_id_tables_licensed_AuditRandomForest,Income,POSITIVE,otsu,137497.6244387755,98.0,0.14285714285714285,False,duplicate,
z_id_tables_licensed_B_5504,income,POSITIVE,otsu,80253.6857142857,35.0,0.4,False,concept_cap,
z_id_tables_licensed_D_7160,income,POSITIVE,otsu,57361.305555555555,36.0,0.2222222222222222,False,concept_cap,
z_id_tables_licensed_EMPLOYEES_11,SALARY,POSITIVE,otsu,6819.827586206897,107.0,0.4485981308411215,False,duplicate,
z_id_tables_licensed_EMPLOYEES_12,SALARY,POSITIVE,otsu,6819.827586206897,107.0,0.4485981308411215,False,duplicate,
z_id_tables_licensed_EMPLOYEES_13,SALARY,POSITIVE,otsu,6819.827586206897,107.0,0.4485981308411215,False,duplicate,
z_id_tables_licensed_EMPLOYEES_14,SALARY,POSITIVE,otsu,6819.827586206897,107.0,0.4485981308411215,False,duplicate,
z_id_tables_licensed_EMPLOYEES_17,SALARY,POSITIVE,otsu,6819.827586206897,107.0,0.4485981308411215,False,duplicate,
z_id_tables_licensed_EMPLOYEES_18,SALARY,POSITIVE,otsu,6819.827586206897,107.0,0.4485981308411215,False,duplicate,
z_id_tables_licensed_EMPLOYEES_5,salary,POSITIVE,otsu,6518.421052631578,107.0,0.45794392523364486,False,concept_cap,
z_id_tables_licensed_EMPLOYEES_6,SALARY,POSITIVE,otsu,6819.827586206897,107.0,0.4485981308411215,False,duplicate,
z_id_tables_licensed_EMPLOYEES_8,SALARY,POSITIVE,otsu,6819.827586206897,107.0,0.4485981308411215,False,duplicate,
z_id_tables_licensed_EMPLOYEES_9,SALARY,POSITIVE,otsu,6819.827586206897,107.0,0.4485981308411215,False,duplicate,
z_id_tables_licensed_M_27953,income,POSITIVE,otsu,82327.75,36.0,0.3055555555555556,False,concept_cap,
z_id_tables_licensed_Parade2005_2,earnings,POSITIVE,otsu,9904195.40229885,130.0,0.06153846153846154,False,duplicate,
z_id_tables_licensed_banking-test-loans-public,payments,NEGATIVE,otsu,7567.330434782609,106.0,0.8490566037735849,True,,0.8019
z_id_tables_licensed_batch168_players,total_payoff,POSITIVE,otsu,105.125,97.0,0.27835051546391754,True,,1.0
z_id_tables_licensed_batch170_players,total_payoff,POSITIVE,otsu,123.1140350877193,100.0,0.32,True,,1.0
z_id_tables_licensed_dkcsgo,Salary,POSITIVE,otsu,8970.27027027027,40.0,0.375,False,concept_cap,
z_id_tables_licensed_draftkings_cin_bal_w5,Salary,POSITIVE,otsu,5132.558139534884,80.0,0.4375,False,concept_cap,
z_id_tables_licensed_draftkings_nyg_dal_w5,Salary,POSITIVE,otsu,5208.888888888889,78.0,0.4230769230769231,False,concept_cap,
z_id_tables_licensed_draftkings_sea_min_w5,Salary,POSITIVE,otsu,5864.130434782609,84.0,0.30952380952380953,False,duplicate,
z_id_tables_licensed_employee_257,SALARY,POSITIVE,otsu,6819.827586206897,107.0,0.4485981308411215,False,duplicate,
z_id_tables_licensed_employees_101,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_102,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_104,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_105,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
