level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.23932848807452145,0.3862228462872718,0.5,-0.4370969392977787,0.0632414798276445,-0.07651054083079001
baseline_b,0.683386221721773,0.33867864015394483,0.5089426660261576,0.006960794349472832,0.015697273694317504,-0.06756787480463244
baseline,0.6764254273723002,0.32298136645962733,0.57651054083079,0.0,0.0,0.0
level0,0.6680315283038182,0.31102613129381773,0.6576457788615628,-0.00839389906848198,-0.011955235165809597,0.08113523803077283
level2,0.7081584604360733,0.3904212101774642,0.7336105227689842,0.031733033063773175,0.06743984371783684,0.1570999819381942
level2_lsc,0.6828743986078412,0.337751175716118,0.6995205045241428,0.006448971235541001,0.014769809256490685,0.12300996369335282
level_ot,0.6476609683693315,0.2635857937526744,0.5225195263777768,-0.028764459002968645,-0.05939557270695295,-0.05399101445301324
level_qbc,0.6776538028457365,0.33071200850159405,0.6933835483770333,0.0012283754734363495,0.007730642041966718,0.1168730075462433
level5,0.6464325928958952,0.2613344739093242,0.6039527151360811,-0.029992834476404995,-0.061646892550303145,0.027442174305291056
level55,0.7176783703552052,0.4101796407185629,0.6784413467315326,0.04125294298290505,0.08719827425893556,0.10193080590074255
level6,0.7188043812058552,0.41265768655120805,0.6720746464853327,0.042378953833555055,0.08967632009158072,0.09556410565454265
ensemble,0.6995598321220187,0.37246097926020955,0.684458149851747,0.023134404749718507,0.04947961280058222,0.10794760902095701
source_ensemble,0.6973078104207187,0.38459937565036423,0.693301901877081,0.020882383048418496,0.0616180091907369,0.11679136104629095
oracle,0.8447128672330843,0.6756467821252939,0.9029077492975294,0.1682874398607841,0.3526654156656666,0.32639720846673936
