level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.7606715119254785,0.0,0.5,0.0,0.0,-0.07651054083079001
baseline_b,0.6924966731497595,0.33978021978021977,0.5089426660261576,-0.06817483877571906,0.33978021978021977,-0.06756787480463244
baseline,0.7606715119254785,0.0,0.57651054083079,0.0,0.0,0.0
level0,0.6680315283038182,0.31102613129381773,0.6576457788615628,-0.09263998362166037,0.31102613129381773,0.08113523803077283
level2,0.6721261132152728,0.3872202027931892,0.7336105227689842,-0.08854539871020572,0.3872202027931892,0.1570999819381942
level2_lsc,0.6263691268297676,0.43057722308892354,0.6995205045241428,-0.1343023850957109,0.43057722308892354,0.12300996369335282
level_ot,0.7369229194390419,0.05025868440502587,0.5225195263777768,-0.02374859248643668,0.05025868440502587,-0.05399101445301324
level_qbc,0.6077387654826492,0.4792063060614297,0.6933835483770333,-0.1529327464428294,0.4792063060614297,0.1168730075462433
level5,0.7606715119254785,0.0,0.6039527151360811,0.0,0.0,0.027442174305291056
level55,0.7604667826799059,0.0025575447570332483,0.6784413467315326,-0.0002047292455726879,0.0025575447570332483,0.10193080590074255
level6,0.6541099396048725,0.45083699008613687,0.6720746464853327,-0.10656157232060604,0.45083699008613687,0.09556410565454265
ensemble,0.7171665472412734,0.1769436997319035,0.684458149851747,-0.04350496468420517,0.1769436997319035,0.10794760902095701
source_ensemble,0.7391749411403419,0.26485862665897286,0.693301901877081,-0.02149657078513667,0.26485862665897286,0.11679136104629095
oracle,0.8504452861091207,0.614816767730029,0.9029077492975294,0.08977377418364219,0.614816767730029,0.32639720846673936
