level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.23932848807452145,0.3862228462872718,0.5,-0.32756679291636814,0.2745285359786428,0.2231529213330649
baseline_b,0.620022520217013,0.19022687609075042,0.36257388907518606,0.05312723922612339,0.07853256578212141,0.08572681040825098
baseline,0.5668952809908896,0.11169431030862902,0.2768470786669351,0.0,0.0,0.0
level0,0.7592384072064694,0.0,0.49736650466297344,0.1923431262155798,-0.11169431030862902,0.22051942599603835
level2,0.6229910942778176,0.21219251336898395,0.33317211243353306,0.05609581328692803,0.10049820306035494,0.056325033766597976
level5,0.6397788924147815,0.24759461193072482,0.5493788074119942,0.07288361142389188,0.13590030162209582,0.2725317287450591
level55,0.6397788924147815,0.24759461193072482,0.5493788074119942,0.07288361142389188,0.13590030162209582,0.2725317287450591
level6,0.6397788924147815,0.24759461193072482,0.5493788074119942,0.07288361142389188,0.13590030162209582,0.2725317287450591
ensemble,0.628723513153854,0.22450288646568314,0.5100539448238882,0.0618282321629644,0.11280857615705413,0.23320686615695313
source_ensemble,0.47507421435152014,0.4034434620753839,0.5721485686565619,-0.09182106663936945,0.29174915176675487,0.29530148998962685
oracle,0.8667212611321528,0.7215568862275449,0.9268465203510737,0.29982598014126316,0.6098625759189159,0.6499994416841386
