,similarity
Parade2005_2,0.5774834691896847
z_id_tables_licensed_stateData_1,0.4110889145978202
z_crime_rate_tables_licensed_StateData2,0.354866413690881
z_parent_tables_licensed_recipient,0.34426491641439944
z_id_tables_licensed_employees_102,0.34076796423718625
z_id_tables_licensed_employees_106,0.34076796423718625
z_id_tables_licensed_employees_143,0.34076796423718625
draftkings_sea_min_w5,0.3123899153546268
EMPLOYEES_6,0.3028111987441837
z_id_tables_licensed_EMPLOYEES_17,0.3028111987441837
z_organism_tables_licensed_CMS002_016a_Rb_S121_L004,0.27472044072998003
z_id_tables_licensed_most_deprived_datazones_by_council_(income)_2012_1,0.2503642248782186
z_lead_time_tables_licensed_artist,0.2112465912001595
