level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.7606715119254785,0.0,0.5,0.4092537618998874,-0.2947462154942119,0.02965940775465048
baseline_b,0.7606715119254785,0.0,0.42219813789572935,0.4092537618998874,-0.2947462154942119,-0.04814245434962017
baseline,0.35141775002559117,0.2947462154942119,0.4703405922453495,0.0,0.0,0.0
level0,0.7592384072064694,0.0,0.49736650466297344,0.40782065718087823,-0.2947462154942119,0.02702591241762392
level2,0.7592384072064694,0.0,0.4485753390847925,0.40782065718087823,-0.2947462154942119,-0.021765253160556997
level5,0.37516634251202785,0.3795486887578776,0.5295030505342623,0.02374859248643668,0.08480247326366569,0.059162458288912756
level55,0.37516634251202785,0.3795486887578776,0.5295030505342623,0.02374859248643668,0.08480247326366569,0.059162458288912756
level6,0.37516634251202785,0.3795486887578776,0.5295030505342623,0.02374859248643668,0.08480247326366569,0.059162458288912756
ensemble,0.7592384072064694,0.0,0.5267445097117606,0.40782065718087823,-0.2947462154942119,0.05640391746641105
source_ensemble,0.7032449585423278,0.3349392062399633,0.6046325654245462,0.35182720851673666,0.04019299074575139,0.13429197317919672
oracle,0.8724536800081891,0.7016283524904214,0.9268465203510737,0.521035929982598,0.4068821369962095,0.4565059281057242
