table_id,src_col,tgt_col,sim,proxy_col
z_id_tables_licensed_youtube_channel_measures,id,V11,0.4133,subscriber_count
z_id_tables_licensed_youtube_channel_measures,comment_count,V14,0.2609,subscriber_count
z_id_tables_licensed_youtube_channel_measures,video_count,V12,0.1956,subscriber_count
z_show_time_tables_licensed_test_data_predictions,captions_pred,V4,0.1483,subscriptions_pred
z_show_time_tables_licensed_test_data_predictions,comments_pred,V7,0.2676,subscriptions_pred
z_show_time_tables_licensed_test_data_predictions,snippets_pred,V1,0.1495,subscriptions_pred
z_show_time_tables_licensed_test_data_predictions,related_channels_pred,V11,0.2182,subscriptions_pred
z_show_time_tables_licensed_test_data_predictions,cross_comments_pred,V13,0.1975,subscriptions_pred
z_show_time_tables_licensed_test_data_predictions,probability,V8,0.2353,subscriptions_pred
z_show_time_tables_licensed_test_data_predictions,confidence_score,V6,0.1955,subscriptions_pred
