level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.11699657193409267,0.20948420948420948,0.5,-0.6636072099966825,0.14093960854524235,0.10807107608429323
baseline_b,0.780050868074754,0.06046291922531885,0.46436217245709993,-0.0005529138560211866,-0.008081681713648287,0.07243324854139316
baseline,0.7806037819307752,0.06854460093896714,0.3919289239157068,0.0,0.0,0.0
level0,0.7835895167532898,0.17945492662473794,0.613691373120442,0.0029857348225146296,0.1109103256857708,0.2217624492047352
level2,0.8318036049983413,0.2794883941260066,0.6766131084630563,0.0511998230675661,0.21094379318703949,0.28468418454734956
level5,0.786796417118213,0.09398496240601503,0.46975555537142544,0.006192635187437845,0.025440361467047895,0.07782663145571866
level55,0.786796417118213,0.09398496240601503,0.46975555537142544,0.006192635187437845,0.025440361467047895,0.07782663145571866
level6,0.7873493309742342,0.09163911195087387,0.4492286458660082,0.0067455490434590315,0.023094511011906738,0.05729972195030142
ensemble,0.7969700320690036,0.13314447592067988,0.5858630844932547,0.016366250138228455,0.06459987498171274,0.19393416057754798
source_ensemble,0.8272697113789672,0.2893539581437671,0.6541470124157653,0.046665929448192034,0.22080935720479994,0.26221808850005857
oracle,0.9062258100187991,0.5992438563327032,0.9285334742718211,0.12562202808802392,0.530699255393736,0.5366045503561143
