level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.8830034280659074,0.0,0.5,0.017914408935088,-0.030206677265500796,-0.036532640951311146
baseline_b,0.8830034280659074,0.0,0.5244566549046948,0.017914408935088,-0.030206677265500796,-0.012075986046616305
baseline,0.8650890191308194,0.030206677265500796,0.5365326409513111,0.0,0.0,0.0
level0,0.8716134026318699,0.04128819157720892,0.7247062367648225,0.006524383501050557,0.011081514311708125,0.18817359581351134
level2,0.4749530023222382,0.29554896142433235,0.7813120181625993,-0.3901360168085812,0.26534228415883154,0.24477937721128817
level2_lsc,0.7296251244056176,0.2633323290147635,0.712507738398912,-0.13546389472520182,0.2331256517492627,0.17597509744760087
level5,0.8830034280659074,0.0,0.48151851356454034,0.017914408935088,-0.030206677265500796,-0.055014127386770806
level55,0.8830034280659074,0.0,0.5126503143299168,0.017914408935088,-0.030206677265500796,-0.023882326621394334
level6,0.8830034280659074,0.0,0.5962277450749456,0.017914408935088,-0.030206677265500796,0.059695104123634435
ensemble,0.8830034280659074,0.0,0.6685039174349826,0.017914408935088,-0.030206677265500796,0.13197127648367146
source_ensemble,0.8717239854030742,0.046052631578947366,0.7270568161238049,0.006634966272254794,0.01584595431344657,0.19052417517249376
oracle,0.8977109366360722,0.5391131041355257,0.9005287560679108,0.032621917505252784,0.508906426870025,0.3639961151165997
