level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.11699657193409267,0.20948420948420948,0.5,-0.6665929448191972,0.03002928285947154,-0.11369137312044197
baseline_b,0.8830034280659074,0.0,0.5,0.09941391131261756,-0.17945492662473794,-0.11369137312044197
baseline,0.7835895167532898,0.17945492662473794,0.613691373120442,0.0,0.0,0.0
level0,0.7835895167532898,0.17945492662473794,0.613691373120442,0.0,0.0,0.0
level2,0.7989605219506801,0.141643059490085,0.7223117423619191,0.01537100519739032,-0.037811867134652954,0.10862036924147711
level5,0.8279332080061926,0.133630289532294,0.43953247641785814,0.04434369125290283,-0.04582463709244394,-0.17415889670258383
level55,0.8279332080061926,0.133630289532294,0.43953247641785814,0.04434369125290283,-0.04582463709244394,-0.17415889670258383
level6,0.8279332080061926,0.133630289532294,0.43953247641785814,0.04434369125290283,-0.04582463709244394,-0.17415889670258383
ensemble,0.8214088245051421,0.23712801133679737,0.6152144320695823,0.03781930775185227,0.057673084712059425,0.001523058949140288
source_ensemble,0.7457702090014375,0.26432,0.6312981097592012,-0.03781930775185227,0.08486507337526206,0.017606736638759224
oracle,0.9062258100187991,0.5992438563327032,0.9285334742718211,0.12263629326550929,0.4197889297079652,0.3148421011513791
