level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.8830034280659074,0.0,0.5,0.0017693243392680191,-0.2032640949554896,-0.11369137312044197
baseline_b,0.8830034280659074,0.0,0.5,0.0017693243392680191,-0.2032640949554896,-0.11369137312044197
baseline,0.8812341037266394,0.2032640949554896,0.613691373120442,0.0,0.0,0.0
level0,0.8812341037266394,0.2032640949554896,0.613691373120442,0.0,0.0,0.0
level2,0.7880128276014597,0.29392265193370165,0.7223117423619191,-0.09322127612517961,0.09065855697821204,0.10862036924147711
level5,0.595598805706071,0.15170494084899094,0.43953247641785814,-0.2856352980205683,-0.05155915410649867,-0.17415889670258383
level55,0.595598805706071,0.15170494084899094,0.43953247641785814,-0.2856352980205683,-0.05155915410649867,-0.17415889670258383
level6,0.595598805706071,0.15170494084899094,0.43953247641785814,-0.2856352980205683,-0.05155915410649867,-0.17415889670258383
ensemble,0.7880128276014597,0.29392265193370165,0.6152144320695823,-0.09322127612517961,0.09065855697821204,0.001523058949140288
source_ensemble,0.8824505142098861,0.17017954722872755,0.6312981097592012,0.0012164104832467215,-0.03308454772676206,0.017606736638759224
oracle,0.9081057171292712,0.5154518950437318,0.9285334742718211,0.02687161340263189,0.3121878000882422,0.3148421011513791
