level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.35036496350364965,0.518918918918919,0.5,-0.5401459854014599,-0.3264419058233491,-0.4557584269662922
baseline_b,0.20437956204379562,0.23776223776223776,0.35404962546816476,-0.6861313868613139,-0.6075985869800302,-0.6017088014981274
baseline,0.8905109489051095,0.845360824742268,0.9557584269662922,0.0,0.0,0.0
level0,0.6496350364963503,0.0,0.5,-0.24087591240875916,-0.845360824742268,-0.4557584269662922
level2,0.6496350364963503,0.0,0.5,-0.24087591240875916,-0.845360824742268,-0.4557584269662922
level5,0.8248175182481752,0.75,0.9220505617977528,-0.06569343065693434,-0.09536082474226804,-0.03370786516853941
level55,0.8394160583941606,0.7708333333333334,0.9389044943820225,-0.051094890510948954,-0.07452749140893467,-0.016853932584269704
level6,0.8394160583941606,0.7708333333333334,0.9339887640449439,-0.051094890510948954,-0.07452749140893467,-0.0217696629213483
ensemble,0.8321167883211679,0.7628865979381443,0.9220505617977528,-0.058394160583941646,-0.08247422680412375,-0.03370786516853941
source_ensemble,0.35036496350364965,0.518918918918919,0.7395833333333334,-0.5401459854014599,-0.3264419058233491,-0.21617509363295884
oracle,0.948905109489051,0.9278350515463918,0.9857209737827716,0.058394160583941535,0.08247422680412375,0.029962546816479363
