level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.6496350364963503,0.0,0.5,-0.08029197080291972,-0.3728813559322034,-0.4557584269662922
baseline_b,0.6715328467153284,0.11764705882352941,0.35404962546816476,-0.058394160583941646,-0.25523429710867396,-0.6017088014981274
baseline,0.7299270072992701,0.3728813559322034,0.9557584269662922,0.0,0.0,0.0
level0,0.6496350364963503,0.0,0.5,-0.08029197080291972,-0.3728813559322034,-0.4557584269662922
level2,0.6496350364963503,0.0,0.5,-0.08029197080291972,-0.3728813559322034,-0.4557584269662922
level5,0.8248175182481752,0.6756756756756757,0.9220505617977528,0.0948905109489051,0.30279431974347226,-0.03370786516853941
level55,0.8248175182481752,0.6756756756756757,0.9389044943820225,0.0948905109489051,0.30279431974347226,-0.016853932584269704
level6,0.8686131386861314,0.8421052631578947,0.9339887640449439,0.13868613138686137,0.4692239072256913,-0.0217696629213483
ensemble,0.656934306569343,0.04081632653061224,0.9220505617977528,-0.07299270072992703,-0.33206502940159116,-0.03370786516853941
source_ensemble,0.6496350364963503,0.0,0.7395833333333334,-0.08029197080291972,-0.3728813559322034,-0.21617509363295884
oracle,0.9708029197080292,0.96,0.9857209737827716,0.24087591240875916,0.5871186440677966,0.029962546816479363
