table_id,proxy_col,direction,thresh_method,binarize_thresh,n_rows,positive_rate,kept,reason,proxy_quality
8427f50a21ae03cb9d77bde9511b1abf_userdata_1,Active,NEGATIVE,otsu,0.25,35.0,0.2,True,,0.9
VariablesLookUp,Active,NEGATIVE,otsu,0.25,69.0,0.043478260869565216,True,,0.2521
dataset_sorted_100_1,CustomerAge,NEGATIVE,otsu,50.407407407407405,100.0,0.51,True,,0.9483
edison_omar_sample_patterns,active,NEGATIVE,otsu,0.25,38.0,0.13157894736842105,True,,0.6021
parksIDs,Active,NEGATIVE,otsu,0.25,93.0,0.08602150537634409,False,concept_cap,
va-covid-19-summary-2020-05-05,Active,NEGATIVE,otsu,66.57,140.0,0.9357142857142857,False,extreme_pos_rate,
va-covid-19-summary-2020-05-06,Active,NEGATIVE,otsu,61.90624999999999,140.0,0.9357142857142857,False,extreme_pos_rate,
z_attrition_rate_tables_licensed_test-data,Attrition,POSITIVE,otsu,0.25,294.0,0.1870748299319728,True,,0.8741
z_attrition_rate_tables_licensed_test_2,Attrition,POSITIVE,otsu,0.25,282.0,0.1347517730496454,True,,0.7695
z_attrition_rate_tables_licensed_train,Attrition,POSITIVE,otsu,0.25,1188.0,0.1675084175084175,True,,0.835
z_data_rate_tables_licensed_DataTorrent@Malhar,test_churn,POSITIVE,otsu,1080.7105263157896,192.0,0.005208333333333333,False,extreme_pos_rate,
z_data_rate_tables_licensed_covidVIC_postcode,active,NEGATIVE,otsu,2.1666666666666665,702.0,0.9829059829059829,False,extreme_pos_rate,
z_data_rate_tables_licensed_cuckoobox@cuckoo,test_churn,POSITIVE,otsu,22.166666666666668,177.0,0.011299435028248588,False,extreme_pos_rate,
z_data_rate_tables_licensed_probe_definitions_monitors,active,NEGATIVE,otsu,0.25,42.0,0.2857142857142857,False,concept_cap,
z_dwarf_tables_licensed_OrganismsLookUp_1,Active,NEGATIVE,otsu,0.25,146.0,0.5,False,concept_cap,
z_dwarf_tables_licensed_cardInfo,left,POSITIVE,otsu,5.05,302.0,0.5496688741721855,True,,0.1526
z_dwarf_tables_licensed_cardlist,Left,POSITIVE,otsu,4.111111111111111,322.0,0.6459627329192547,True,,0.1324
