table_id,src_col,tgt_col,sim,proxy_col
z_attrition_rate_tables_licensed_test-data,HourlyRate,TotalCharges,0.3826,Attrition
z_attrition_rate_tables_licensed_test-data,JobLevel,tenure,0.4596,Attrition
z_attrition_rate_tables_licensed_test-data,JobSatisfaction,Contract,0.4194,Attrition
z_attrition_rate_tables_licensed_test-data,RelationshipSatisfaction,Partner,0.4841,Attrition
z_lead_time_tables_licensed_hotel_bookings,adults,gender,0.5151,is_canceled
z_lead_time_tables_licensed_hotel_bookings,booking_changes,Contract,0.4248,is_canceled
z_attrition_rate_tables_licensed_train,JobLevel,tenure,0.4596,Attrition
z_attrition_rate_tables_licensed_train,JobSatisfaction,Contract,0.4194,Attrition
8427f50a21ae03cb9d77bde9511b1abf_userdata_1,CountComments,TotalCharges,0.3685,Active
8427f50a21ae03cb9d77bde9511b1abf_userdata_1,AvarageRating,StreamingTV,0.3708,Active
z_attrition_rate_tables_licensed_test_2,JobLevel,tenure,0.4596,Attrition
z_attrition_rate_tables_licensed_test_2,JobSatisfaction,Contract,0.4194,Attrition
z_parent_tables_licensed_culture500_data_preprocessed,Collaboration,Partner,0.5396,Customer
z_parent_tables_licensed_culture500_data_preprocessed,Diversity,gender,0.36,Customer
z_parent_tables_licensed_culture500_data_preprocessed,Respect,Contract,0.4124,Customer
z_dwarf_tables_licensed_cardInfo,up,OnlineBackup,0.4209,left
z_dwarf_tables_licensed_cardInfo,type,gender,0.4413,left
