level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.2654364797728886,0.4195176668536175,0.5,-0.4137686302342087,0.02868208733879274,-0.14941098969231958
baseline_b,0.5514549325762953,0.15733333333333333,0.38645922136970734,-0.12775017743080197,-0.23350224618149146,-0.26295176832261224
baseline,0.6792051100070973,0.3908355795148248,0.6494109896923196,0.0,0.0,0.0
level0,0.6635911994322214,0.3646112600536193,0.6512296881862099,-0.015613910574875822,-0.02622431946120546,0.0018186984938902695
level2,0.7239176721078779,0.48064085447263016,0.7282079103050969,0.04471256210078067,0.08980527495780538,0.07879692061277732
level2_lsc,0.681334279630944,0.3989290495314592,0.7001717946730734,0.002129169623846683,0.008093470016634408,0.05076080498075386
level_ot,0.6770759403832506,0.3876177658142665,0.6465395644423777,-0.002129169623846683,-0.003217813700558292,-0.0028714252499418835
level_qbc,0.6713981547196594,0.3818424566088118,0.6786264176289752,-0.007806955287437911,-0.008993122906013007,0.029215427936655658
level5,0.6941092973740242,0.4151967435549525,0.6639334521687463,0.014904187366926891,0.024361164040127725,0.014522462476426745
level55,0.6848828956706884,0.40161725067385445,0.6512787723785166,0.005677785663591117,0.010781671159029671,0.0018677826861970281
level6,0.7040454222853088,0.4387617765814266,0.7074646722984319,0.024840312278211485,0.04792619706660184,0.05805368260611232
ensemble,0.7026259758694109,0.44058744993324434,0.7015487354362034,0.023420865862313622,0.04975187041841955,0.052137745743883857
source_ensemble,0.6437189496096523,0.3394736842105263,0.6090508667235008,-0.03548616039744501,-0.051361895304298466,-0.040360122968818746
oracle,0.7764371894960965,0.5794392523364486,0.835774626055956,0.09723207948899926,0.18860367282162377,0.1863636363636364
