level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.7345635202271115,0.0,0.5,0.0503903477643719,-0.3945578231292517,-0.14941098969231958
baseline_b,0.609652235628105,0.0802675585284281,0.38645922136970734,-0.07452093683463457,-0.3142902646008236,-0.26295176832261224
baseline,0.6841731724627396,0.3945578231292517,0.6494109896923196,0.0,0.0,0.0
level0,0.6898509581263307,0.1312127236580517,0.6512296881862099,0.005677785663591117,-0.2633450994712,0.0018186984938902695
level2,0.6217175301632364,0.5303964757709251,0.7282079103050969,-0.06245564229950318,0.13583865264167339,0.07879692061277732
level2_lsc,0.6259758694109298,0.5323868677905945,0.7001717946730734,-0.05819730305180981,0.13782904466134283,0.05076080498075386
level_ot,0.6841731724627396,0.35413642960812775,0.6465395644423777,0.0,-0.04042139352112395,-0.0028714252499418835
level_qbc,0.5982966643009227,0.5170648464163823,0.6786264176289752,-0.08587650816181691,0.12250702328713059,0.029215427936655658
level5,0.7345635202271115,0.0,0.6639334521687463,0.0503903477643719,-0.3945578231292517,0.014522462476426745
level55,0.7345635202271115,0.0,0.6512787723785166,0.0503903477643719,-0.3945578231292517,0.0018677826861970281
level6,0.6359119943222143,0.5254394079555966,0.7074646722984319,-0.04826117814052522,0.13088158482634493,0.05805368260611232
ensemble,0.6834634492547906,0.4752941176470588,0.7015487354362034,-0.0007097232079489313,0.08073629451780712,0.052137745743883857
source_ensemble,0.7146912704045423,0.014705882352941176,0.6090508667235008,0.030518097941802713,-0.3798519407763105,-0.040360122968818746
oracle,0.7771469127040455,0.5395894428152492,0.835774626055956,0.09297374024130589,0.14503161968599754,0.1863636363636364
