table_id,discovery_score,rank,proxy_col
z_id_tables_licensed_people_124,0.5503657083787902,1,credit_rating
payments_16,0.2744229682528962,2,payment_id
z_data_rate_tables_licensed_parameters_28,0.23289161335928993,3,default
z_data_rate_tables_licensed_RawDataProcessor_params_2,0.2324890314712157,4,default
z_object_tables_licensed_Formatted_RV,0.1571724706502242,5,preferred_flag
z_erythrocyte_sedimentation_rate_tables_licensed_res_with_expand,0.10757488919733973,6,f_score
z_erythrocyte_sedimentation_rate_tables_licensed_res-cui-expand,0.1003055658898801,7,f_score
z_erythrocyte_sedimentation_rate_tables_licensed_res-cui,0.09552540505317059,8,f_score
z_inflation_rate_tables_licensed_example_data,0.05856208187110057,9,credit_gdp
z_object_tables_licensed_Everett_20213,0.040852133480079406,10,Credit
z_id_tables_licensed_sample-postings,0.03621628536151359,11,credit_account
z_object_tables_licensed_Everett_20211,0.03227331961031618,12,Credit
z_data_rate_tables_licensed_mec_keys,0.0206143576651164,13,Default
