table_id,src_col,tgt_col,sim,proxy_col
z_id_tables_licensed_people_124,age,age,1.0,credit_rating
z_data_rate_tables_licensed_parameters_28,value,property_magnitude,0.4275,default
z_data_rate_tables_licensed_parameters_28,used_,purpose,0.4108,default
z_data_rate_tables_licensed_RawDataProcessor_params_2,used_,purpose,0.4108,default
z_object_tables_licensed_Formatted_RV,value,property_magnitude,0.4275,preferred_flag
z_object_tables_licensed_Formatted_RV,reference_id,credit_amount,0.3537,preferred_flag
z_inflation_rate_tables_licensed_example_data,share_non_resident_liabilities,residence_since,0.422,credit_gdp
z_inflation_rate_tables_licensed_example_data,loans_deposits_ratio,credit_amount,0.5,credit_gdp
z_inflation_rate_tables_licensed_example_data,ITA_gdp_yoy,foreign_worker,0.3994,credit_gdp
z_inflation_rate_tables_licensed_example_data,ITA_unemployment_rate,employment,0.4309,credit_gdp
z_object_tables_licensed_Everett_20213,Section,purpose,0.376,Credit
z_id_tables_licensed_sample-postings,debit_account,savings_status,0.4229,credit_account
z_object_tables_licensed_Everett_20211,Section,purpose,0.376,Credit
