level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.7,0.8235294117647058,0.5,0.17499999999999993,0.16160770357965248,0.08833333333333332
baseline_b,0.615,0.7259786476868327,0.6776190476190476,0.08999999999999997,0.06405693950177938,0.2659523809523809
baseline,0.525,0.6619217081850534,0.4116666666666667,0.0,0.0,0.0
level0,0.555,0.6787003610108303,0.44833333333333336,0.030000000000000027,0.016778652825776952,0.03666666666666668
level2,0.52,0.6571428571428571,0.42702380952380947,-0.0050000000000000044,-0.004778851042196219,0.015357142857142791
level5,0.575,0.697508896797153,0.4527380952380952,0.04999999999999993,0.03558718861209964,0.04107142857142854
level55,0.575,0.697508896797153,0.4527380952380952,0.04999999999999993,0.03558718861209964,0.04107142857142854
level6,0.51,0.65,0.4198809523809524,-0.015000000000000013,-0.011921708185053337,0.00821428571428573
ensemble,0.595,0.7117437722419929,0.4480952380952381,0.06999999999999995,0.04982206405693956,0.03642857142857142
source_ensemble,0.515,0.6548042704626335,0.34672619047619047,-0.010000000000000009,-0.007117437722419906,-0.06494047619047622
oracle,0.735,0.8113879003558719,0.7647619047619049,0.20999999999999996,0.14946619217081858,0.3530952380952382
