level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.3,0.0,0.5,-0.26999999999999996,-0.6640625,-0.041785714285714426
baseline_b,0.7,0.8235294117647058,0.5126190476190476,0.13,0.15946691176470584,-0.029166666666666785
baseline,0.57,0.6640625,0.5417857142857144,0.0,0.0,0.0
level0,0.395,0.42105263157894735,0.4995238095238094,-0.17499999999999993,-0.24300986842105265,-0.042261904761905
level2,0.5,0.5798319327731093,0.4998214285714285,-0.06999999999999995,-0.0842305672268907,-0.0419642857142859
level5,0.535,0.6172839506172839,0.5675,-0.03499999999999992,-0.046778549382716084,0.02571428571428558
level55,0.535,0.6172839506172839,0.5675,-0.03499999999999992,-0.046778549382716084,0.02571428571428558
level6,0.545,0.6374501992031872,0.5672619047619047,-0.02499999999999991,-0.02661230079681276,0.02547619047619032
ensemble,0.55,0.6218487394957983,0.5471428571428572,-0.019999999999999907,-0.04221376050420167,0.005357142857142727
source_ensemble,0.395,0.42105263157894735,0.4995238095238094,-0.17499999999999993,-0.24300986842105265,-0.042261904761905
oracle,0.77,0.8506493506493507,0.7704761904761905,0.20000000000000007,0.18658685064935066,0.2286904761904761
