level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.42355889724310775,0.5950704225352113,0.5,-0.03759398496240601,0.22556895625955142,0.06946231026498584
baseline_b,0.5413533834586466,0.46017699115044247,0.5400051453563159,0.08020050125313283,0.09067552487478264,0.10946745562130178
baseline,0.46115288220551376,0.36950146627565983,0.43053768973501416,0.0,0.0,0.0
level0,0.5513784461152882,0.471976401179941,0.5700154360689479,0.09022556390977443,0.10247493490428117,0.13947774633393373
level2,0.6541353383458647,0.591715976331361,0.6839593516851041,0.19298245614035092,0.22221451005570114,0.25342166195008997
level2_lsc,0.581453634085213,0.5073746312684366,0.6172626704399279,0.12030075187969924,0.1378731649927768,0.18672498070491372
level5,0.39849624060150374,0.28994082840236685,0.3568561872909699,-0.06265664160401002,-0.07956063787329298,-0.07368150244404426
level55,0.42857142857142855,0.3254437869822485,0.3909184461023926,-0.03258145363408521,-0.04405767929341131,-0.03961924363262154
level6,0.47117794486215536,0.3775811209439528,0.4427579109853358,0.010025062656641603,0.008079654668292968,0.012220221250321628
ensemble,0.5739348370927319,0.4970414201183432,0.5579109853357345,0.1127819548872181,0.12753995384268335,0.1273732956007203
source_ensemble,0.5288220551378446,0.4748603351955307,0.5147800360174942,0.06766917293233088,0.1053588689198709,0.08424234628248006
oracle,0.8295739348370927,0.7988165680473372,0.9114226910213531,0.368421052631579,0.4293151017716774,0.48088500128633893
