level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.5764411027568922,0.0,0.5,0.0,0.0,0.06946231026498584
baseline_b,0.5764411027568922,0.0,0.5400051453563159,0.0,0.0,0.10946745562130178
baseline,0.5764411027568922,0.0,0.43053768973501416,0.0,0.0,0.0
level0,0.5864661654135338,0.3037974683544304,0.5700154360689479,0.010025062656641603,0.3037974683544304,0.13947774633393373
level2,0.5939849624060151,0.38636363636363635,0.6839593516851041,0.01754385964912286,0.38636363636363635,0.25342166195008997
level2_lsc,0.5989974937343359,0.4244604316546763,0.6172626704399279,0.022556390977443663,0.4244604316546763,0.18672498070491372
level5,0.5764411027568922,0.0,0.3568561872909699,0.0,0.0,-0.07368150244404426
level55,0.5764411027568922,0.0,0.3909184461023926,0.0,0.0,-0.03961924363262154
level6,0.5263157894736842,0.19574468085106383,0.4427579109853358,-0.05012531328320802,0.19574468085106383,0.012220221250321628
ensemble,0.5639097744360902,0.12121212121212122,0.5579109853357345,-0.012531328320801949,0.12121212121212122,0.1273732956007203
source_ensemble,0.5739348370927319,0.08602150537634409,0.5147800360174942,-0.0025062656641603454,0.08602150537634409,0.08424234628248006
oracle,0.8245614035087719,0.782608695652174,0.9114226910213531,0.24812030075187974,0.782608695652174,0.48088500128633893
