table_id,proxy_col,direction,thresh_method,binarize_thresh,n_rows,positive_rate,kept,reason,proxy_quality
z_id_tables_licensed_sample_1136,Diabetic,POSITIVE,otsu,0.25,100,0.38,True,,1.0
z_respiratory_rate_tables_licensed_10011_episode1_timeseries,Glucose,POSITIVE,median_fallback,88.0,49,0.9183673469387755,False,extreme_pos_rate,
z_respiratory_rate_tables_licensed_10094_episode1_timeseries,Glucose,POSITIVE,otsu,221.375,56,0.8214285714285714,True,,0.7075
z_respiratory_rate_tables_licensed_10149_episode1_timeseries,Glucose,POSITIVE,median_fallback,94.5,52,0.9423076923076923,False,extreme_pos_rate,
z_respiratory_rate_tables_licensed_10164_episode1_timeseries,Glucose,POSITIVE,median_fallback,114.0,60,0.95,False,extreme_pos_rate,
z_respiratory_rate_tables_licensed_10266_episode1_timeseries,Glucose,POSITIVE,otsu,132.17391304347825,98,0.8979591836734694,True,,0.4369
z_respiratory_rate_tables_licensed_10467_episode1_timeseries,Glucose,POSITIVE,otsu,128.5,81,0.9012345679012346,False,extreme_pos_rate,
z_respiratory_rate_tables_licensed_10471_episode2_timeseries,Glucose,POSITIVE,otsu,113.75,58,0.9137931034482759,False,extreme_pos_rate,
z_respiratory_rate_tables_licensed_10496_episode1_timeseries,Glucose,POSITIVE,otsu,126.0909090909091,116,0.9741379310344828,False,extreme_pos_rate,
z_respiratory_rate_tables_licensed_10616_episode1_timeseries,Glucose,POSITIVE,otsu,223.02777777777777,71,0.8169014084507042,True,,0.3249
z_respiratory_rate_tables_licensed_1063_episode1_timeseries,Glucose,POSITIVE,median_fallback,97.0,55,0.9818181818181818,False,extreme_pos_rate,
z_respiratory_rate_tables_licensed_10670_episode1_timeseries,Glucose,POSITIVE,otsu,123.57142857142857,96,0.9166666666666666,False,extreme_pos_rate,
z_respiratory_rate_tables_licensed_10715_episode1_timeseries,Glucose,POSITIVE,otsu,259.52631578947364,109,0.6605504587155964,False,concept_cap,
z_respiratory_rate_tables_licensed_1077_episode1_timeseries,Glucose,POSITIVE,median_fallback,149.0,48,0.9791666666666666,False,extreme_pos_rate,
z_respiratory_rate_tables_licensed_10783_episode1_timeseries,Glucose,POSITIVE,median_fallback,111.0,51,0.9215686274509803,False,extreme_pos_rate,
z_respiratory_rate_tables_licensed_10784_episode1_timeseries,Glucose,POSITIVE,otsu,141.4,86,0.8953488372093024,False,concept_cap,
z_respiratory_rate_tables_licensed_10833_episode1_timeseries,Glucose,POSITIVE,otsu,144.46875,66,0.9242424242424242,False,extreme_pos_rate,
z_respiratory_rate_tables_licensed_10864_episode1_timeseries,Glucose,POSITIVE,otsu,202.33333333333331,57,0.8245614035087719,False,concept_cap,
z_respiratory_rate_tables_licensed_1104_episode2_timeseries,Glucose,POSITIVE,median_fallback,110.0,56,0.9285714285714286,False,extreme_pos_rate,
z_respiratory_rate_tables_licensed_1121_episode1_timeseries,Glucose,POSITIVE,otsu,90.76190476190476,129,0.9224806201550387,False,extreme_pos_rate,
z_respiratory_rate_tables_licensed_1134_episode2_timeseries,Glucose,POSITIVE,otsu,111.45,53,0.8490566037735849,False,concept_cap,
z_respiratory_rate_tables_licensed_1135_episode1_timeseries,Glucose,POSITIVE,otsu,231.25,55,0.8,False,concept_cap,
z_respiratory_rate_tables_licensed_1137_episode1_timeseries,Glucose,POSITIVE,otsu,101.5,66,0.8333333333333334,False,concept_cap,
