level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.35064935064935066,0.5192307692307693,0.5,-0.24025974025974028,0.09721242060691604,-0.07361111111111118
baseline_b,0.5844155844155844,0.41818181818181815,0.5921296296296297,-0.006493506493506551,-0.00383653044203508,0.01851851851851849
baseline,0.5909090909090909,0.42201834862385323,0.5736111111111112,0.0,0.0,0.0
level0,0.5909090909090909,0.42201834862385323,0.5736111111111112,0.0,0.0,0.0
level2,0.6168831168831169,0.45871559633027525,0.6373148148148149,0.025974025974025983,0.03669724770642202,0.0637037037037037
level5,0.5909090909090909,0.42201834862385323,0.6066666666666667,0.0,0.0,0.033055555555555505
level55,0.5909090909090909,0.42201834862385323,0.6066666666666667,0.0,0.0,0.033055555555555505
level6,0.5714285714285714,0.3888888888888889,0.5781481481481481,-0.019480519480519543,-0.03312945973496434,0.004537037037036895
ensemble,0.6103896103896104,0.4444444444444444,0.6296296296296297,0.01948051948051943,0.022426095820591185,0.05601851851851847
source_ensemble,0.5909090909090909,0.42201834862385323,0.5744444444444444,0.0,0.0,0.0008333333333332416
oracle,0.7597402597402597,0.6605504587155964,0.8233333333333334,0.16883116883116878,0.23853211009174313,0.24972222222222218
