level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.6493506493506493,0.0,0.5,0.051948051948051965,-0.5571428571428572,-0.15879629629629632
baseline_b,0.35064935064935066,0.5192307692307693,0.33268518518518514,-0.24675324675324672,-0.03791208791208789,-0.3261111111111112
baseline,0.5974025974025974,0.5571428571428572,0.6587962962962963,0.0,0.0,0.0
level0,0.525974025974026,0.5165562913907285,0.6328703703703704,-0.0714285714285714,-0.04058656575212871,-0.025925925925925908
level2,0.6623376623376623,0.6338028169014085,0.6820370370370369,0.06493506493506496,0.07665995975855133,0.023240740740740562
level5,0.35714285714285715,0.5217391304347826,0.635,-0.24025974025974023,-0.03540372670807457,-0.023796296296296315
level55,0.35064935064935066,0.5192307692307693,0.6994444444444444,-0.24675324675324672,-0.03791208791208789,0.0406481481481481
level6,0.564935064935065,0.45528455284552843,0.5457407407407407,-0.03246753246753242,-0.10185830429732873,-0.11305555555555558
ensemble,0.512987012987013,0.5664739884393064,0.7114814814814814,-0.08441558441558439,0.009331131296449247,0.05268518518518506
source_ensemble,0.35064935064935066,0.5192307692307693,0.6574074074074073,-0.24675324675324672,-0.03791208791208789,-0.001388888888888995
oracle,0.7467532467532467,0.6355140186915887,0.8157407407407408,0.14935064935064934,0.07837116154873158,0.15694444444444444
