level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.35064935064935066,0.5192307692307693,0.5,-0.12337662337662336,0.39019851116625315,0.05194444444444446
baseline_b,0.564935064935065,0.26373626373626374,0.3926851851851852,0.09090909090909094,0.13470400567174762,-0.05537037037037035
baseline,0.474025974025974,0.12903225806451613,0.44805555555555554,0.0,0.0,0.0
level0,0.4805194805194805,0.06976744186046512,0.4300925925925925,0.006493506493506496,-0.05926481620405101,-0.017962962962963014
level2,0.487012987012987,0.27522935779816515,0.4961111111111111,0.012987012987012991,0.14619709973364903,0.048055555555555574
level5,0.6623376623376623,0.5185185185185185,0.6883333333333334,0.18831168831168832,0.38948626045400236,0.2402777777777778
level55,0.6493506493506493,0.5,0.6992592592592592,0.17532467532467533,0.3709677419354839,0.2512037037037037
level6,0.6298701298701299,0.47706422018348627,0.6646296296296296,0.1558441558441559,0.34803196211897014,0.21657407407407403
ensemble,0.487012987012987,0.27522935779816515,0.5394444444444444,0.012987012987012991,0.14619709973364903,0.09138888888888885
source_ensemble,0.525974025974026,0.34234234234234234,0.5712962962962963,0.051948051948051965,0.21331008427782622,0.12324074074074076
oracle,0.7532467532467533,0.6481481481481481,0.8157407407407408,0.27922077922077926,0.519115890083632,0.3676851851851852
