level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.6493506493506493,0.0,0.5,0.2987012987012987,-0.5192307692307693,-0.08175925925925931
baseline_b,0.35064935064935066,0.5192307692307693,0.3913888888888889,0.0,0.0,-0.1903703703703704
baseline,0.35064935064935066,0.5192307692307693,0.5817592592592593,0.0,0.0,0.0
level0,0.33116883116883117,0.47715736040609136,0.4300925925925925,-0.019480519480519487,-0.042073408824677916,-0.15166666666666678
level2,0.42207792207792205,0.06315789473684211,0.1775,0.0714285714285714,-0.4560728744939272,-0.4042592592592593
level5,0.35064935064935066,0.5192307692307693,0.6537037037037038,0.0,0.0,0.07194444444444448
level55,0.35064935064935066,0.5192307692307693,0.6849999999999999,0.0,0.0,0.10324074074074063
level6,0.4090909090909091,0.542713567839196,0.6022222222222222,0.05844155844155846,0.023482798608426725,0.020462962962962905
ensemble,0.24025974025974026,0.19310344827586207,0.17796296296296296,-0.1103896103896104,-0.3261273209549072,-0.4037962962962963
source_ensemble,0.35064935064935066,0.5192307692307693,0.5372222222222223,0.0,0.0,-0.04453703703703704
oracle,0.7467532467532467,0.6355140186915887,0.8157407407407408,0.39610389610389607,0.11628324946081947,0.23398148148148146
