,similarity
gov_data_sccgov_org_bhga-vqtn,0.5380364675165394
gov_data_sccgov_org_mykk-z8mk,0.5195228089513781
gov_data_cityofchicago_org_iqnk-2tcu,0.483873241261366
gov_covid19_buffalony_gov_cxgv-ybsn,0.4801441139100842
gov_opendata_utah_gov_qmsu-gki4,0.4379699688072942
gov_data_novascotia_ca_eytb-9sg2,0.4087021185805638
gov_data_novascotia_ca_6upw-qfpp,0.4036872984443063
gov_data_cdc_gov_bxq8-mugm,0.37907708667418877
gov_data_cdc_gov_9dzk-mvmi,0.3784306455991249
gov_data_cdc_gov_tdmv-axfy,0.3545463627893462
gov_datahub_austintexas_gov_yuf6-vzks,0.3084493542950421
gov_data_cdc_gov_mwk9-wnfr,0.30316643058584686
gov_data_cdc_gov_sf7h-sajc,0.30239094491208607
