level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.4444444444444444,0.6153846153846154,0.5,-0.2592592592592593,-0.06461538461538463,-0.25625
baseline_b,0.3333333333333333,0.25,0.3194444444444444,-0.3703703703703704,-0.43000000000000005,-0.43680555555555556
baseline,0.7037037037037037,0.68,0.75625,0.0,0.0,0.0
level0,0.5555555555555556,0.5,0.5868055555555556,-0.14814814814814814,-0.18000000000000005,-0.1694444444444444
level2,0.5555555555555556,0.5,0.5868055555555556,-0.14814814814814814,-0.18000000000000005,-0.1694444444444444
level2_lsc,0.5555555555555556,0.5,0.5868055555555556,-0.14814814814814814,-0.18000000000000005,-0.1694444444444444
level5,0.4074074074074074,0.3333333333333333,0.3888888888888889,-0.29629629629629634,-0.34666666666666673,-0.3673611111111111
level55,0.4074074074074074,0.3333333333333333,0.3888888888888889,-0.29629629629629634,-0.34666666666666673,-0.3673611111111111
level6,0.2962962962962963,0.20833333333333334,0.3541666666666667,-0.40740740740740744,-0.4716666666666667,-0.4020833333333333
ensemble,0.5555555555555556,0.5,0.4930555555555556,-0.14814814814814814,-0.18000000000000005,-0.2631944444444444
source_ensemble,0.5925925925925926,0.56,0.5784722222222223,-0.11111111111111116,-0.12,-0.1777777777777777
oracle,0.8333333333333334,0.8163265306122449,0.8833333333333333,0.12962962962962965,0.13632653061224487,0.12708333333333333
