level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.5555555555555556,0.0,0.5,-0.11111111111111105,-0.4,-0.25625
baseline_b,0.5555555555555556,0.0,0.3194444444444444,-0.11111111111111105,-0.4,-0.43680555555555556
baseline,0.6666666666666666,0.4,0.75625,0.0,0.0,0.0
level0,0.5555555555555556,0.3333333333333333,0.5868055555555556,-0.11111111111111105,-0.06666666666666671,-0.1694444444444444
level2,0.5555555555555556,0.3333333333333333,0.5868055555555556,-0.11111111111111105,-0.06666666666666671,-0.1694444444444444
level2_lsc,0.5555555555555556,0.3333333333333333,0.5868055555555556,-0.11111111111111105,-0.06666666666666671,-0.1694444444444444
level5,0.5370370370370371,0.13793103448275862,0.3888888888888889,-0.12962962962962954,-0.2620689655172414,-0.3673611111111111
level55,0.5370370370370371,0.13793103448275862,0.3888888888888889,-0.12962962962962954,-0.2620689655172414,-0.3673611111111111
level6,0.3333333333333333,0.28,0.3541666666666667,-0.3333333333333333,-0.12,-0.4020833333333333
ensemble,0.5370370370370371,0.07407407407407407,0.4930555555555556,-0.12962962962962954,-0.32592592592592595,-0.2631944444444444
source_ensemble,0.5555555555555556,0.0,0.5784722222222223,-0.11111111111111105,-0.4,-0.1777777777777777
oracle,0.7777777777777778,0.7272727272727273,0.8833333333333333,0.11111111111111116,0.32727272727272727,0.12708333333333333
