level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.4444444444444444,0.6153846153846154,0.5,0.2037037037037037,0.38896952104499277,0.24722222222222223
baseline_b,0.6481481481481481,0.6122448979591837,0.7770833333333333,0.40740740740740744,0.38582980361956104,0.5243055555555556
baseline,0.24074074074074073,0.22641509433962265,0.25277777777777777,0.0,0.0,0.0
level0,0.24074074074074073,0.22641509433962265,0.25277777777777777,0.0,0.0,0.0
level2,0.24074074074074073,0.22641509433962265,0.25277777777777777,0.0,0.0,0.0
level5,0.46296296296296297,0.40816326530612246,0.33472222222222225,0.22222222222222224,0.1817481709664998,0.08194444444444449
level55,0.46296296296296297,0.40816326530612246,0.33472222222222225,0.22222222222222224,0.1817481709664998,0.08194444444444449
level6,0.3333333333333333,0.25,0.26666666666666666,0.09259259259259259,0.023584905660377353,0.013888888888888895
ensemble,0.2777777777777778,0.20408163265306123,0.225,0.03703703703703706,-0.022333461686561418,-0.027777777777777762
source_ensemble,0.2777777777777778,0.20408163265306123,0.2513888888888889,0.03703703703703706,-0.022333461686561418,-0.001388888888888884
oracle,0.7962962962962963,0.7755102040816326,0.8805555555555555,0.5555555555555556,0.54909510974201,0.6277777777777778
