level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.5555555555555556,0.0,0.5,0.0,-0.07692307692307693,0.24722222222222223
baseline_b,0.5555555555555556,0.0,0.7770833333333333,0.0,-0.07692307692307693,0.5243055555555556
baseline,0.5555555555555556,0.07692307692307693,0.25277777777777777,0.0,0.0,0.0
level0,0.5555555555555556,0.07692307692307693,0.25277777777777777,0.0,0.0,0.0
level2,0.5555555555555556,0.07692307692307693,0.25277777777777777,0.0,0.0,0.0
level5,0.5555555555555556,0.0,0.33472222222222225,0.0,-0.07692307692307693,0.08194444444444449
level55,0.5555555555555556,0.0,0.33472222222222225,0.0,-0.07692307692307693,0.08194444444444449
level6,0.3148148148148148,0.2127659574468085,0.26666666666666666,-0.24074074074074076,0.13584288052373159,0.013888888888888895
ensemble,0.5555555555555556,0.0,0.225,0.0,-0.07692307692307693,-0.027777777777777762
source_ensemble,0.5555555555555556,0.07692307692307693,0.2513888888888889,0.0,0.0,-0.001388888888888884
oracle,0.8148148148148148,0.8,0.8805555555555555,0.2592592592592592,0.7230769230769232,0.6277777777777778
