table_id,proxy_col,direction,thresh_method,binarize_thresh,n_rows,positive_rate,kept,reason,proxy_quality
DNAm_age_of_DNAmAge_methylation_matrix_from_idat_GSE81961,DNAmAge,POSITIVE,otsu,26.241544822478268,40,0.5,True,,0.494
baylor_2016_games,attendance,POSITIVE,otsu,9558.666666666668,30,0.36666666666666664,True,,0.8356
baylor_games_2014-2016,attendance,POSITIVE,otsu,9648.52564102564,83,0.3373493975903614,True,,0.811
butler_games_2014-2016,attendance,POSITIVE,otsu,10948.679104477611,77,0.14285714285714285,True,,0.5579
georgetown_games_2014-2016,attendance,POSITIVE,otsu,11815.654320987655,81,0.30864197530864196,False,concept_cap,
iowa_state_games_2014-2016,attendance,POSITIVE,otsu,10688.0,79,0.810126582278481,False,concept_cap,
tcu_games_2014-2016,attendance,POSITIVE,otsu,8556.449367088608,84,0.23809523809523808,False,concept_cap,
villanova_games_2014-2016,attendance,POSITIVE,otsu,11557.287234042553,83,0.30120481927710846,False,concept_cap,
z_id_tables_licensed_2020-11-26_14-41-39_overview,rescheduling_time,POSITIVE,otsu,55.730465661764704,40,0.5,True,,1.0
z_id_tables_licensed_DNAm_age_of_DNAmAge_methylation_matrix_from_idat_GSE104812,DNAmAge,POSITIVE,otsu,7.9737464848843995,48,0.2916666666666667,True,,0.4978
z_id_tables_licensed_DNAm_age_of_DNAmAge_methylation_matrix_from_idat_GSE116300,DNAmAge,POSITIVE,otsu,21.586502922567423,44,0.20454545454545456,True,,0.9091
z_id_tables_licensed_DNAm_age_of_DNAmAge_methylation_matrix_from_idat_GSE116300_1,DNAmAge,POSITIVE,otsu,24.239315198111797,44,0.25,False,concept_cap,
z_id_tables_licensed_DNAm_age_of_DNAmAge_methylation_matrix_from_idat_GSE41273_edited,DNAmAge,POSITIVE,otsu,18.714447199492326,62,0.04838709677419355,False,concept_cap,
z_id_tables_licensed_DNAm_age_of_DNAmAge_methylation_matrix_from_idat_GSE41273_edited_1,DNAmAge,POSITIVE,otsu,18.714447199492326,62,0.04838709677419355,False,duplicate,
z_id_tables_licensed_DNAm_age_of_DNAmAge_methylation_matrix_from_idat_GSE41273_edited_2,DNAmAge,POSITIVE,otsu,23.11439410867506,62,0.08064516129032258,False,concept_cap,
z_id_tables_licensed_DNAm_age_of_DNAmAge_methylation_matrix_from_idat_GSE41273_edited_3,DNAmAge,POSITIVE,otsu,23.11439410867506,62,0.08064516129032258,False,duplicate,
z_id_tables_licensed_DNAm_age_of_DNAmAge_methylation_matrix_from_idat_GSE81961,DNAmAge,POSITIVE,otsu,26.241544822478268,40,0.5,False,duplicate,
z_id_tables_licensed_DNAm_age_of_DNAmAge_methylation_matrix_from_idat_GSE81961_1,DNAmAge,POSITIVE,otsu,31.52498494159005,40,0.25,False,concept_cap,
z_id_tables_licensed_baylor_2016_games,attendance,POSITIVE,otsu,9558.666666666668,30,0.36666666666666664,False,duplicate,
z_id_tables_licensed_baylor_games_2014-2016,attendance,POSITIVE,otsu,9648.52564102564,83,0.3373493975903614,False,duplicate,
z_id_tables_licensed_butler_games_2014-2016,attendance,POSITIVE,otsu,10948.679104477611,77,0.14285714285714285,False,duplicate,
z_id_tables_licensed_creighton_2016_games,attendance,POSITIVE,otsu,10853.90625,32,0.65625,False,concept_cap,
z_id_tables_licensed_georgetown_games_2014-2016,attendance,POSITIVE,otsu,11815.654320987655,81,0.30864197530864196,False,duplicate,
z_id_tables_licensed_iowa_state_games_2014-2016,attendance,POSITIVE,otsu,10688.0,79,0.810126582278481,False,duplicate,
z_id_tables_licensed_kansas_games_2014-2016,attendance,POSITIVE,otsu,13201.660714285714,78,0.7307692307692307,False,concept_cap,
z_id_tables_licensed_oklahoma_games_2014-2016,attendance,POSITIVE,otsu,10401.389705882353,79,0.5949367088607594,False,concept_cap,
z_id_tables_licensed_oklahoma_state_games_2014-2016,attendance,POSITIVE,otsu,9611.783582089553,77,0.45454545454545453,False,concept_cap,
z_id_tables_licensed_output_VehicleMatrix,visit_time,POSITIVE,otsu,40.21428571428572,294,0.42517006802721086,True,,1.0
z_id_tables_licensed_tcu_games_2014-2016,attendance,POSITIVE,otsu,8556.449367088608,84,0.23809523809523808,False,duplicate,
z_id_tables_licensed_villanova_games_2014-2016,attendance,POSITIVE,otsu,11557.287234042553,83,0.30120481927710846,False,duplicate,
z_id_tables_licensed_west_virginia_games_2014-2016,attendance,POSITIVE,otsu,9604.636986301372,78,0.5256410256410257,False,concept_cap,
z_id_tables_licensed_xavier_games_2014-2016,attendance,POSITIVE,otsu,8498.779069767443,54,0.8148148148148148,False,concept_cap,
z_object_tables_licensed_question-dataset,followup,POSITIVE,otsu,9025.95,73,0.7397260273972602,True,,0.0897
z_object_tables_licensed_question-dataset_1,followup,POSITIVE,otsu,9025.95,73,0.7397260273972602,True,,0.0897
z_organism_tables_licensed_annotation_5,patient_id,POSITIVE,otsu,2616.830357142857,138,0.7318840579710145,True,,0.7875
z_organism_tables_licensed_info.gb,patient_id,POSITIVE,otsu,31096.5,167,0.4491017964071856,True,,0.0004
z_parent_tables_licensed_data_112,Total missed,POSITIVE,otsu,5.05,200,0.485,True,,0.25
z_parent_tables_licensed_sys_menu_4,IS_SHOW,POSITIVE,otsu,0.25,133,0.706766917293233,True,,1.0
z_parent_tables_licensed_sys_menu_5,IS_SHOW,POSITIVE,otsu,0.25,133,0.706766917293233,False,duplicate,
z_question_time_tables_licensed_question-dataset,followup,POSITIVE,otsu,9025.95,73,0.7397260273972602,False,duplicate,
z_question_time_tables_licensed_question-dataset_1,followup,POSITIVE,otsu,9025.95,73,0.7397260273972602,False,duplicate,
z_question_time_tables_licensed_question-dataset_2,followup,POSITIVE,otsu,9025.95,73,0.7397260273972602,False,duplicate,
z_rainy_day_tables_licensed_texas_rangers_attendance_2012,attend,POSITIVE,otsu,40258.975,81,0.7283950617283951,True,,0.2603
z_whole_tables_licensed_bowen,RNA.DNA,POSITIVE,otsu,0.7372900234719392,74,0.3918918918918919,True,,0.1374
