table_id,discovery_score,rank,proxy_col
z_parent_tables_licensed_sys_menu_4,0.28064569195052147,1,IS_SHOW
baylor_games_2014-2016,0.2201685599595022,2,attendance
z_organism_tables_licensed_annotation_5,0.21896732739242525,3,patient_id
baylor_2016_games,0.2095433460931912,4,attendance
z_id_tables_licensed_output_VehicleMatrix,0.20892815173833512,5,visit_time
z_id_tables_licensed_2020-11-26_14-41-39_overview,0.17557599140437724,6,rescheduling_time
butler_games_2014-2016,0.14217296435087184,7,attendance
z_id_tables_licensed_DNAm_age_of_DNAmAge_methylation_matrix_from_idat_GSE116300,0.0757433178268732,8,DNAmAge
z_rainy_day_tables_licensed_texas_rangers_attendance_2012,0.06840278445392252,9,attend
z_id_tables_licensed_DNAm_age_of_DNAmAge_methylation_matrix_from_idat_GSE104812,0.04093128267560487,10,DNAmAge
DNAm_age_of_DNAmAge_methylation_matrix_from_idat_GSE81961,0.03933106573331577,11,DNAmAge
z_parent_tables_licensed_data_112,0.03708142057093309,12,Total missed
z_whole_tables_licensed_bowen,0.019943504482075377,13,RNA.DNA
z_object_tables_licensed_question-dataset,0.01683065558655358,14,followup
z_object_tables_licensed_question-dataset_1,0.01683065558655358,15,followup
z_organism_tables_licensed_info.gb,0.00011705252647702768,16,patient_id
