level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.2019361259386592,0.33601806548739177,0.5,-0.4236858771374288,0.24506903209547615,0.07558096052349828
baseline_b,0.5789830815163304,0.20690242863229655,0.4263694447695077,-0.046638921559757573,0.11595339524038091,0.0019504052930059967
baseline,0.625622003076088,0.09094903339191564,0.4244190394765017,0.0,0.0,0.0
level0,0.4232787478512621,0.11777731644868868,0.336179522971615,-0.20234325522482582,0.02682828305677304,-0.0882395165048867
level2,0.6235863566452546,0.06326691433074412,0.3176430984588342,-0.0020356464308333155,-0.027682119061171517,-0.10677594101766752
level5,0.7359992762146024,0.33576143865240154,0.6940081929669302,0.11037727313851442,0.24481240526048592,0.26958915349042845
level55,0.7366778250248801,0.33130384836300975,0.6918088094901422,0.11105582194879215,0.24035481497109412,0.2673897700136405
level6,0.7359992762146024,0.33576143865240154,0.6940081929669302,0.11037727313851442,0.24481240526048592,0.26958915349042845
ensemble,0.6396001085678097,0.12709543113838062,0.3642792721547919,0.013978105491721737,0.036146397746464984,-0.060139767321709836
source_ensemble,0.5646430833257939,0.12429481346678799,0.3808745734559797,-0.060978919750294014,0.03334578007487235,-0.04354446602052203
oracle,0.7472631864652131,0.374286034270355,0.722996063381658,0.12164118338912511,0.2833370008784394,0.2985770239051563
