level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.7980638740613408,0.0,0.5,0.3388220392653578,-0.2840201245807379,-0.01091221680382315
baseline_b,0.5302632769383878,0.251225843668878,0.4214542525189359,0.0710214421424048,-0.032794280911859874,-0.08945796428488723
baseline,0.459241834795983,0.2840201245807379,0.5109122168038231,0.0,0.0,0.0
level0,0.41405048403148464,0.3190874204909846,0.5186623865478236,-0.04519135076449837,0.03506729591024671,0.007750169744000446
level2,0.6554781507283091,0.23794276565939565,0.5192022202129246,0.19623631593232604,-0.04607735892134224,0.008290003409101465
level2_lsc,0.735818329865195,0.17653694303440495,0.5421866917859345,0.276576495069212,-0.10748318154633293,0.03127447498211133
level5,0.5372749479779245,0.3608073486221334,0.6047478443223018,0.0780331131819415,0.07678722404139549,0.09383562751847863
level55,0.5372749479779245,0.3608073486221334,0.6047478443223018,0.0780331131819415,0.07678722404139549,0.09383562751847863
level6,0.612639102506107,0.2974813356304865,0.5907281491930914,0.15339726771012396,0.013461211049748623,0.07981593238926821
ensemble,0.670587170903827,0.3071360608943863,0.5924220084219842,0.211345336107844,0.02311593631364839,0.08150979161816108
source_ensemble,0.41405048403148464,0.3190874204909846,0.5185746511969035,-0.04519135076449837,0.03506729591024671,0.007662434393080342
oracle,0.7981995838233964,0.014143646408839779,0.7079467746405105,0.3389577490274134,-0.2698764781718981,0.19703455783668733
