table_id,proxy_col,direction,thresh_method,binarize_thresh,n_rows,positive_rate,kept,reason,proxy_quality
%23Instance%20of%20single%20line,cost,POSITIVE,median_fallback,0.0,35.0,0.05714285714285714,True,,0.6143
80_460,sales,POSITIVE,otsu,4335367.2769,100.0,0.26,True,,1.0
GB2_xtab,attribute_value,POSITIVE,median_fallback,0.5,50.0,0.98,False,extreme_pos_rate,
Houston,Median Home Value,POSITIVE,otsu,340020.0,40.0,0.475,True,,0.6944
Ingredients,Cost,POSITIVE,otsu,4.505000000000001,167.0,0.09580838323353294,True,,0.6916
PantryItemIDs,Price,POSITIVE,otsu,502.5,79.0,0.7974683544303798,True,,0.3192
ProductItems_7,Price,POSITIVE,otsu,386.9642857142857,70.0,0.05714285714285714,True,,0.6143
Products_35,UnitPrice,POSITIVE,otsu,122.47580645161291,77.0,0.025974025974025976,False,extreme_pos_rate,
Products_72,UnitPrice,POSITIVE,otsu,122.47580645161291,77.0,0.025974025974025976,False,extreme_pos_rate,
Products_84,UnitPrice,POSITIVE,otsu,123.35820895522389,101.0,0.1485148514851485,True,,0.797
Res,price,POSITIVE,otsu,320.52857142857147,83.0,0.5421686746987951,True,,1.0
SKUs_5,price,POSITIVE,otsu,5.161428571428571,236.0,0.597457627118644,False,concept_cap,
Shops_14,price,POSITIVE,otsu,16250.0,330.0,0.012121212121212121,False,extreme_pos_rate,
Shops_4,price,POSITIVE,otsu,16250.0,147.0,0.027210884353741496,False,extreme_pos_rate,
Shops_7,price,POSITIVE,otsu,14772.727272727272,149.0,0.06711409395973154,False,concept_cap,
acs_2013_variables_4,median_age,NEGATIVE,otsu,37.9175,52.0,0.46153846153846156,True,,0.1275
baylor_2016_games,home_id,POSITIVE,otsu,173.29166666666669,30.0,0.9666666666666667,False,extreme_pos_rate,
baylor_games_2014-2016,home_id,POSITIVE,otsu,341.8928571428571,83.0,0.1686746987951807,True,,0.7062
butler_games_2014-2016,home_id,POSITIVE,otsu,316.6,77.0,0.7922077922077922,True,,0.8639
costSkimMatrixFreight,Cost,POSITIVE,otsu,1.7220161290322582,72.0,0.5138888888888888,True,,0.9742
daphnia_metabolic_rates,median,POSITIVE,otsu,0.026968960066525098,59.0,0.3050847457627119,True,,1.0
data_gustos_1,price_level,POSITIVE,otsu,1.3333333333333333,42.0,0.6428571428571429,True,,0.2994
dataset_sorted_100_1,ProductPrice,POSITIVE,otsu,2268.4515499999998,100.0,0.52,True,,1.0
final1,Tier,NEGATIVE,otsu,1.9999999999999998,50.0,0.26,True,,0.217
final22,Tier,NEGATIVE,otsu,2.125,50.0,0.64,True,,0.2667
final23,Tier,NEGATIVE,otsu,2.125,50.0,0.7,True,,0.2698
final25_1,Tier,NEGATIVE,otsu,2.125,50.0,0.72,False,concept_cap,
final28,Tier,NEGATIVE,otsu,1.9999999999999998,50.0,0.34,False,concept_cap,
final29_1,Tier,NEGATIVE,otsu,1.3333333333333333,30.0,0.36666666666666664,False,concept_cap,
final8,Tier,NEGATIVE,otsu,1.9999999999999998,50.0,0.34,False,concept_cap,
georgetown_games_2014-2016,home_id,POSITIVE,otsu,312.09999999999997,81.0,0.20987654320987653,True,,0.8516
graph_10,cost,POSITIVE,otsu,209.43,70.0,0.18571428571428572,False,concept_cap,
html-train-stats-vs264,median,POSITIVE,otsu,1249.5714285714287,129.0,0.007751937984496124,False,extreme_pos_rate,
iowa_state_games_2014-2016,home_id,POSITIVE,otsu,341.8928571428571,79.0,0.17721518987341772,False,concept_cap,
items_103,cost,POSITIVE,otsu,203.75,66.0,0.045454545454545456,False,concept_cap,
landstates2016_5,Home.Value,POSITIVE,otsu,442258.39833184297,51.0,0.0784313725490196,True,,0.6569
offer_list_1,price,POSITIVE,otsu,4.300000000000001,50.0,0.84,False,concept_cap,
offer_list_8,price,POSITIVE,otsu,18.653157894736843,68.0,0.5147058823529411,False,concept_cap,
pe-coff-statistics-vs252,median,POSITIVE,otsu,11234.608695652174,129.0,0.007751937984496124,False,extreme_pos_rate,
pe-coff-statistics-vs264,median,POSITIVE,otsu,9822.400000000001,129.0,0.023255813953488372,False,extreme_pos_rate,
pilot4_RT_stats,median_rt,NEGATIVE,otsu,1.7635716902901053,39.0,0.4358974358974359,True,,0.382
products_117,Price,POSITIVE,otsu,2321.964285714286,33.0,0.06060606060606061,False,concept_cap,
products_1575,UnitPrice,POSITIVE,otsu,98.77049180327869,77.0,0.025974025974025976,False,extreme_pos_rate,
products_2201,price,POSITIVE,otsu,122.47580645161291,77.0,0.025974025974025976,False,extreme_pos_rate,
products_2296,UnitPrice,POSITIVE,otsu,122.47580645161291,77.0,0.025974025974025976,False,extreme_pos_rate,
products_2324,unitPrice,POSITIVE,otsu,122.47580645161291,77.0,0.025974025974025976,False,extreme_pos_rate,
purchase_data_3_5,Price,POSITIVE,otsu,3.0729166666666665,78.0,0.4230769230769231,False,concept_cap,
purchase_order_line_3,price_unit,POSITIVE,otsu,2.2068965517241383,35.0,0.08571428571428572,True,,0.6714
results-48.8506354063404-2.38828767123288-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8506354063404-2.39260273972603-52.5,Price_level,POSITIVE,median_fallback,1.5,48.0,0.9791666666666666,False,extreme_pos_rate,
results-48.8506354063404-2.39404109589041-52.5,Price_level,POSITIVE,median_fallback,1.5,34.0,0.9705882352941176,False,extreme_pos_rate,
results-48.8515804157905-2.40123287671233-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8520529205155-2.38900684931507-52.5,Price_level,POSITIVE,median_fallback,1.0,46.0,0.021739130434782608,False,extreme_pos_rate,
results-48.8525254252406-2.37678082191781-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8525254252406-2.40554794520548-52.5,Price_level,POSITIVE,median_fallback,1.5,51.0,0.9607843137254902,False,extreme_pos_rate,
results-48.8539429394157-2.37174657534247-52.5,Price_level,POSITIVE,otsu,1.25,60.0,0.95,False,extreme_pos_rate,
results-48.8544154441407-2.37102739726027-52.5,Price_level,POSITIVE,otsu,1.25,60.0,0.9666666666666667,False,extreme_pos_rate,
results-48.8544154441407-2.37246575342466-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9666666666666667,False,extreme_pos_rate,
results-48.8548879488658-2.3688698630137-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8548879488658-2.38469178082192-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8548879488658-2.40051369863014-52.5,Price_level,POSITIVE,median_fallback,1.5,35.0,0.9714285714285714,False,extreme_pos_rate,
results-48.856777967766-2.3947602739726-52.5,Price_level,POSITIVE,median_fallback,2.0,37.0,0.972972972972973,False,extreme_pos_rate,
results-48.857250472491-2.37390410958904-52.5,Price_level,POSITIVE,median_fallback,1.5,45.0,0.9777777777777777,False,extreme_pos_rate,
results-48.857250472491-2.37821917808219-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.857250472491-2.39979452054795-52.5,Price_level,POSITIVE,median_fallback,1.0,60.0,0.016666666666666666,False,extreme_pos_rate,
results-48.8610305102914-2.37965753424658-52.5,Price_level,POSITIVE,median_fallback,1.0,47.0,0.02127659574468085,False,extreme_pos_rate,
results-48.8615030150165-2.37030821917808-52.5,Price_level,POSITIVE,median_fallback,1.0,60.0,0.016666666666666666,False,extreme_pos_rate,
results-48.8615030150165-2.3775-52.5,Price_level,POSITIVE,median_fallback,1.5,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8615030150165-2.38325342465753-52.5_1,Price_level,POSITIVE,median_fallback,1.5,52.0,0.9807692307692307,False,extreme_pos_rate,
results-48.8624480244666-2.36743150684932-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8624480244666-2.38037671232877-52.5,Price_level,POSITIVE,median_fallback,2.0,44.0,0.9772727272727273,False,extreme_pos_rate,
results-48.86433804-2.399075342-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8643380433668-2.37318493150685-52.5,Price_level,POSITIVE,median_fallback,2.5,49.0,0.9591836734693877,False,extreme_pos_rate,
results-48.8648105480918-2.40554794520548-52.5,Price_level,POSITIVE,median_fallback,2.0,44.0,0.9545454545454546,False,extreme_pos_rate,
results-48.86528305-2.384691781-52.5,Price_level,POSITIVE,median_fallback,1.0,36.0,0.027777777777777776,False,extreme_pos_rate,
results-48.8657555575419-2.37102739726027-52.5_1,Price_level,POSITIVE,median_fallback,2.0,60.0,0.016666666666666666,False,extreme_pos_rate,
results-48.8657555575419-2.37678082191781-52.5,Price_level,POSITIVE,otsu,1.25,60.0,0.9333333333333333,False,extreme_pos_rate,
results-48.8657555575419-2.37821917808219-52.5,Price_level,POSITIVE,median_fallback,2.0,58.0,0.9827586206896551,False,extreme_pos_rate,
results-48.86622806-2.374623288-52.5,Price_level,POSITIVE,median_fallback,1.5,38.0,0.9736842105263158,False,extreme_pos_rate,
results-48.86622806-2.378938356-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9666666666666667,False,extreme_pos_rate,
results-48.86622806-2.380376712-52.5,Price_level,POSITIVE,median_fallback,2.0,53.0,0.9433962264150944,False,extreme_pos_rate,
results-48.866700566992-2.37534246575343-52.5,Price_level,POSITIVE,median_fallback,2.0,56.0,0.9821428571428571,False,extreme_pos_rate,
results-48.866700566992-2.37965753424658-52.5,Price_level,POSITIVE,median_fallback,2.0,53.0,0.9622641509433962,False,extreme_pos_rate,
results-48.866700566992-2.38253424657534-52.5,Price_level,POSITIVE,median_fallback,1.5,56.0,0.9642857142857143,False,extreme_pos_rate,
results-48.86717307-2.373184932-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.86717307-2.397636986-52.5,Price_level,POSITIVE,median_fallback,2.0,59.0,0.9830508474576272,False,extreme_pos_rate,
results-48.8676455764421-2.38541095890411-52.5,Price_level,POSITIVE,median_fallback,1.5,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8676455764421-2.39691780821918-52.5,Price_level,POSITIVE,median_fallback,1.5,42.0,0.9761904761904762,False,extreme_pos_rate,
results-48.86811808-2.378938356-52.5,Price_level,POSITIVE,median_fallback,2.5,50.0,0.98,False,extreme_pos_rate,
results-48.8685905858922-2.36239726027397-52.5_1,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8685905858922-2.36671232876712-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8695355953423-2.37390410958904-52.5_1,Price_level,POSITIVE,median_fallback,2.0,53.0,0.9811320754716981,False,extreme_pos_rate,
results-48.87095311-2.350171233-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8714256142425-2.32643835616438-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8714256142425-2.3336301369863-52.5,Price_level,POSITIVE,median_fallback,3.0,52.0,0.9807692307692307,False,extreme_pos_rate,
results-48.8714256142425-2.33506849315068-52.5,Price_level,POSITIVE,median_fallback,1.5,60.0,0.9666666666666667,False,extreme_pos_rate,
results-48.8714256142425-2.34369863013699-52.5_1,Price_level,POSITIVE,median_fallback,3.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8714256142425-2.36239726027397-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8714256142425-2.37678082191781-52.5,Price_level,POSITIVE,median_fallback,1.0,52.0,0.019230769230769232,False,extreme_pos_rate,
results-48.87189812-2.32859589-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.016666666666666666,False,extreme_pos_rate,
results-48.87189812-2.335787671-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.87189812-2.342979452-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9666666666666667,False,extreme_pos_rate,
results-48.87189812-2.353047945-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.87189812-2.363116438-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.95,False,extreme_pos_rate,
results-48.8723706236926-2.34082191780822-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8723706236926-2.3508904109589-52.5,Price_level,POSITIVE,median_fallback,2.5,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.87284313-2.335787671-52.5,Price_level,POSITIVE,median_fallback,2.5,47.0,0.9787234042553191,False,extreme_pos_rate,
results-48.87284313-2.342979452-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.87284313-2.353047945-52.5,Price_level,POSITIVE,median_fallback,1.5,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.87284313-2.380376712-52.5_1,Price_level,POSITIVE,median_fallback,1.0,57.0,0.017543859649122806,False,extreme_pos_rate,
results-48.8733156331427-2.32931506849315-52.5_1,Price_level,POSITIVE,median_fallback,3.0,38.0,0.9736842105263158,False,extreme_pos_rate,
results-48.8733156331427-2.33938356164384-52.5,Price_level,POSITIVE,median_fallback,1.5,35.0,0.9714285714285714,False,extreme_pos_rate,
results-48.8733156331427-2.3422602739726-52.5,Price_level,POSITIVE,median_fallback,2.5,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8733156331427-2.36095890410959-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.87378814-2.327157534-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.016666666666666666,False,extreme_pos_rate,
results-48.87378814-2.332910959-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.87378814-2.338664384-52.5,Price_level,POSITIVE,median_fallback,1.5,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.87378814-2.350171233-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.87378814-2.390445205-52.5,Price_level,POSITIVE,median_fallback,1.5,54.0,0.9814814814814815,False,extreme_pos_rate,
results-48.8742606425928-2.3336301369863-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8742606425928-2.33650684931507-52.5_1,Price_level,POSITIVE,median_fallback,1.5,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8742606425928-2.36239726027397-52.5,Price_level,POSITIVE,median_fallback,2.0,33.0,0.030303030303030304,True,,0.2492
results-48.87473315-2.330034247-52.5,Price_level,POSITIVE,median_fallback,1.0,60.0,0.016666666666666666,False,extreme_pos_rate,
results-48.87473315-2.332910959-52.5,Price_level,POSITIVE,median_fallback,2.0,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.87473315-2.347294521-52.5,Price_level,POSITIVE,median_fallback,1.5,60.0,0.9833333333333333,False,extreme_pos_rate,
results-48.8752056520429-2.38109589041096-52.5,Price_level,POSITIVE,median_fallback,2.0,39.0,0.9743589743589743,False,extreme_pos_rate,
