level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.395,0.5663082437275986,0.5,-0.1466666666666666,0.14525561214865124,-0.06233799444386323
baseline_b,0.5583333333333333,0.4421052631578947,0.6240192488754054,0.01666666666666672,0.02105263157894738,0.061681254431542154
baseline,0.5416666666666666,0.42105263157894735,0.5623379944438632,0.0,0.0,0.0
level0,0.6433333333333333,0.39204545454545453,0.683579174948565,0.10166666666666668,-0.029007177033492815,0.12124118050470178
level2,0.7,0.6218487394957983,0.7576919947460798,0.15833333333333333,0.20079610791685099,0.1953540003022166
level2_lsc,0.6016666666666667,0.4968421052631579,0.6626041775639013,0.06000000000000005,0.07578947368421057,0.1002661831200381
level5,0.5916666666666667,0.5205479452054794,0.6520207832060536,0.050000000000000044,0.09949531362653208,0.08968278876219038
level55,0.6283333333333333,0.4267352185089974,0.6577396519859121,0.08666666666666667,0.005682586930050082,0.09540165754204888
level6,0.5916666666666667,0.5205479452054794,0.6520207832060536,0.050000000000000044,0.09949531362653208,0.08968278876219038
ensemble,0.6166666666666667,0.5188284518828452,0.6957027118131837,0.07500000000000007,0.09777582030389786,0.13336471736932043
source_ensemble,0.5716666666666667,0.5231910946196661,0.6217119410445071,0.030000000000000027,0.10213846304071872,0.05937394660064388
oracle,0.825,0.7789473684210526,0.9178145087235997,0.2833333333333333,0.35789473684210527,0.3554765142797365
