level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.605,0.0,0.5,0.12,-0.5971316818774446,-0.08011065778614679
baseline_b,0.325,0.40353460972017674,0.4185177436040497,-0.15999999999999998,-0.19359707215726785,-0.1615929141820971
baseline,0.485,0.5971316818774446,0.5801106577861468,0.0,0.0,0.0
level0,0.605,0.008368200836820083,0.6029919447640967,0.12,-0.5887634810406245,0.02288128697794989
level2,0.5583333333333333,0.02214022140221402,0.29116248794039357,0.07333333333333336,-0.5749914604752305,-0.2889481698457532
level5,0.605,0.0,0.20388580860387534,0.12,-0.5971316818774446,-0.37622484918227145
level55,0.605,0.0,0.20388580860387534,0.12,-0.5971316818774446,-0.37622484918227145
level6,0.7,0.40397350993377484,0.8024258697446268,0.21499999999999997,-0.19315817194366974,0.22231521195848003
ensemble,0.6033333333333334,0.0,0.18668270739617115,0.1183333333333334,-0.5971316818774446,-0.39342795038997563
source_ensemble,0.655,0.2736842105263158,0.7432611500505633,0.17000000000000004,-0.3234474713511288,0.16315049226441647
oracle,0.8483333333333334,0.8084210526315789,0.937929351047878,0.3633333333333334,0.21128937075413434,0.3578186932617312
