level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.5391304347826087,0.7005649717514124,0.5,-0.050000000000000044,0.08084666189225753,-0.19316798539257451
baseline_b,0.5782608695652174,0.6088709677419355,0.656145389531345,-0.010869565217391353,-0.010847342117219383,-0.03702259586122947
baseline,0.5891304347826087,0.6197183098591549,0.6931679853925745,0.0,0.0,0.0
level0,0.3978260869565217,0.43584521384928715,0.402141661594644,-0.19130434782608702,-0.18387309600986773,-0.29102632379793053
level2,0.5826086956521739,0.6129032258064516,0.6017479458307973,-0.006521739130434856,-0.0068150840527032575,-0.09142003956177724
level5,0.5978260869565217,0.6277665995975855,0.674946743761412,0.008695652173912993,0.008048289738430636,-0.018221241631162566
level55,0.7108695652173913,0.7323943661971831,0.7927761716372489,0.12173913043478257,0.11267605633802824,0.09960818624467438
level6,0.7130434782608696,0.7338709677419355,0.772938222763238,0.12391304347826082,0.11415265788278062,0.07977023737066347
ensemble,0.5891304347826087,0.6197183098591549,0.6337111990261716,0.0,0.0,-0.05945678636640295
source_ensemble,0.6065217391304348,0.635814889336016,0.643592133292757,0.017391304347826098,0.01609657947686116,-0.04957585209981752
oracle,0.8195652173913044,0.8329979879275654,0.8986990261716372,0.23043478260869565,0.21327967806841053,0.2055310407790627
