level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.4608695652173913,0.0,0.5,-0.023913043478260843,-0.09885931558935361,-0.20525524954351793
baseline_b,0.4608695652173913,0.0,0.44941608338405353,-0.023913043478260843,-0.09885931558935361,-0.2558391661594644
baseline,0.48478260869565215,0.09885931558935361,0.7052552495435179,0.0,0.0,0.0
level0,0.5,0.1417910447761194,0.5567464242239806,0.01521739130434785,0.042931729186765785,-0.14850882531953735
level2,0.6826086956521739,0.761437908496732,0.7867468046256847,0.1978260869565217,0.6625785929073784,0.08149155508216677
level2_lsc,0.5695652173913044,0.3443708609271523,0.7528054625684724,0.08478260869565224,0.24551154533779868,0.047550213024954435
level5,0.4608695652173913,0.0,0.6998915855143032,-0.023913043478260843,-0.09885931558935361,-0.005363664029214732
level55,0.4608695652173913,0.0,0.7097059494826536,-0.023913043478260843,-0.09885931558935361,0.004450699939135716
level6,0.6652173913043479,0.7038461538461539,0.7241802343274499,0.18043478260869572,0.6049868382568003,0.01892498478393201
ensemble,0.6521739130434783,0.6097560975609756,0.7494103773584906,0.16739130434782612,0.510896781971622,0.04415512781497266
source_ensemble,0.532608695652174,0.3909348441926346,0.6649231588557516,0.047826086956521796,0.29207552860328095,-0.04033209068776633
oracle,0.8152173913043478,0.8362235067437379,0.8969111381618988,0.33043478260869563,0.7373641911543843,0.1916558886183809
