table_id,proxy_col,direction,thresh_method,binarize_thresh,n_rows,positive_rate,kept,reason,proxy_quality
Athl%C3%A9tico-PR_14,CV,NEGATIVE,otsu,0.25,44.0,0.9772727272727273,False,extreme_pos_rate,
Atl%C3%A9tico-GO_14,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,True,,0.7353
Atl%C3%A9tico-GO_15,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,True,,0.7353
Atl%C3%A9tico-GO_17,CV,NEGATIVE,otsu,0.25,35.0,0.9428571428571428,False,extreme_pos_rate,
Atl%C3%A9tico-GO_4,CV,NEGATIVE,otsu,0.25,34.0,0.9411764705882353,False,extreme_pos_rate,
Atl%C3%A9tico-GO_5,CV,NEGATIVE,otsu,0.25,34.0,0.9411764705882353,False,extreme_pos_rate,
Atl%C3%A9tico-MG_16,CV,NEGATIVE,otsu,0.25,37.0,0.9459459459459459,False,extreme_pos_rate,
Atl%C3%A9tico-MG_17,CV,NEGATIVE,otsu,0.25,39.0,0.9487179487179487,False,extreme_pos_rate,
Atl%C3%A9tico-MG_3,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
Atl%C3%A9tico-MG_9,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
Bahia_15,CV,NEGATIVE,otsu,0.25,42.0,0.9523809523809523,False,extreme_pos_rate,
Bahia_22,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
Bahia_23,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
Bahia_6,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
Bahia_7,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
Botafogo_14,CV,NEGATIVE,otsu,0.25,48.0,0.9583333333333334,False,extreme_pos_rate,
Botafogo_15,CV,NEGATIVE,otsu,0.25,48.0,0.9583333333333334,False,extreme_pos_rate,
Bragantino_10,CV,NEGATIVE,otsu,0.25,35.0,0.9142857142857143,False,extreme_pos_rate,
Bragantino_12,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,True,,0.7353
Bragantino_13,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,concept_cap,
Bragantino_6,CV,NEGATIVE,otsu,0.25,34.0,0.9117647058823529,False,extreme_pos_rate,
Bragantino_7,CV,NEGATIVE,otsu,0.25,34.0,0.9117647058823529,False,extreme_pos_rate,
Cear%C3%A1_10,CV,NEGATIVE,otsu,0.25,36.0,0.9166666666666666,False,extreme_pos_rate,
Cear%C3%A1_12,CV,NEGATIVE,otsu,0.25,36.0,0.9166666666666666,False,extreme_pos_rate,
Cear%C3%A1_13,CV,NEGATIVE,otsu,0.25,36.0,0.8888888888888888,False,concept_cap,
Cear%C3%A1_3,CV,NEGATIVE,otsu,0.25,34.0,0.9117647058823529,False,extreme_pos_rate,
Cear%C3%A1_9,CV,NEGATIVE,otsu,0.25,36.0,0.9166666666666666,False,extreme_pos_rate,
Corinthians_15,CV,NEGATIVE,otsu,0.25,44.0,0.8863636363636364,False,concept_cap,
Corinthians_16,CV,NEGATIVE,otsu,0.25,44.0,0.8863636363636364,False,concept_cap,
Corinthians_17,CV,NEGATIVE,otsu,0.25,44.0,0.8863636363636364,False,concept_cap,
Corinthians_20,CV,NEGATIVE,otsu,0.25,45.0,0.8444444444444444,False,concept_cap,
Corinthians_8,CV,NEGATIVE,otsu,0.25,39.0,0.9487179487179487,False,extreme_pos_rate,
Corinthians_9,CV,NEGATIVE,otsu,0.25,40.0,0.925,False,extreme_pos_rate,
Coritiba_11,CV,NEGATIVE,otsu,0.25,40.0,0.9,False,concept_cap,
Coritiba_12,CV,NEGATIVE,otsu,0.25,40.0,0.9,False,concept_cap,
Coritiba_13,CV,NEGATIVE,otsu,0.25,40.0,0.9,False,concept_cap,
Coritiba_4,CV,NEGATIVE,otsu,0.25,38.0,0.9210526315789473,False,extreme_pos_rate,
Coritiba_7,CV,NEGATIVE,otsu,0.25,39.0,0.9487179487179487,False,extreme_pos_rate,
Flamengo_12,CV,NEGATIVE,otsu,0.25,42.0,0.9761904761904762,False,extreme_pos_rate,
Flamengo_13,CV,NEGATIVE,otsu,0.25,42.0,0.9761904761904762,False,extreme_pos_rate,
Flamengo_18,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
Flamengo_2,CV,NEGATIVE,otsu,0.25,32.0,0.96875,False,extreme_pos_rate,
Flamengo_3,CV,NEGATIVE,otsu,0.25,32.0,0.96875,False,extreme_pos_rate,
Flamengo_9,CV,NEGATIVE,otsu,0.25,42.0,0.9761904761904762,False,extreme_pos_rate,
Fluminense_1,CV,NEGATIVE,otsu,0.25,36.0,0.9722222222222222,False,extreme_pos_rate,
Fluminense_17,CV,NEGATIVE,otsu,0.25,43.0,0.9534883720930233,False,extreme_pos_rate,
Fluminense_2,CV,NEGATIVE,otsu,0.25,37.0,0.9459459459459459,False,extreme_pos_rate,
Fluminense_8,CV,NEGATIVE,otsu,0.25,41.0,0.9512195121951219,False,extreme_pos_rate,
Fluminense_9,CV,NEGATIVE,otsu,0.25,42.0,0.9523809523809523,False,extreme_pos_rate,
Fortaleza_10,CV,NEGATIVE,otsu,0.25,32.0,0.96875,False,extreme_pos_rate,
Fortaleza_5,CV,NEGATIVE,otsu,0.25,30.0,0.9,False,concept_cap,
Fortaleza_7,CV,NEGATIVE,otsu,0.25,30.0,0.9,False,concept_cap,
Goi%C3%A1s_12,CV,NEGATIVE,otsu,0.25,42.0,0.9523809523809523,False,extreme_pos_rate,
Goi%C3%A1s_13,CV,NEGATIVE,otsu,0.25,42.0,0.9523809523809523,False,extreme_pos_rate,
Goi%C3%A1s_4,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
Goi%C3%A1s_5,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
Gr%C3%AAmio_14,CV,NEGATIVE,otsu,0.25,38.0,0.8421052631578947,False,concept_cap,
Gr%C3%AAmio_21,CV,NEGATIVE,otsu,0.25,39.0,0.8461538461538461,False,concept_cap,
Gr%C3%AAmio_4,CV,NEGATIVE,otsu,0.25,36.0,0.8333333333333334,False,concept_cap,
Gr%C3%AAmio_5,CV,NEGATIVE,otsu,0.25,36.0,0.8611111111111112,False,concept_cap,
Internacional_14,CV,NEGATIVE,otsu,0.25,41.0,0.926829268292683,False,extreme_pos_rate,
Internacional_17,CV,NEGATIVE,otsu,0.25,49.0,0.9183673469387755,False,extreme_pos_rate,
Internacional_21,CV,NEGATIVE,otsu,0.25,49.0,0.8979591836734694,False,concept_cap,
Internacional_6,CV,NEGATIVE,otsu,0.25,40.0,0.925,False,extreme_pos_rate,
Internacional_7,CV,NEGATIVE,otsu,0.25,40.0,0.925,False,extreme_pos_rate,
Palmeiras_15,CV,NEGATIVE,otsu,0.25,46.0,0.9347826086956522,False,extreme_pos_rate,
Palmeiras_2,CV,NEGATIVE,otsu,0.25,30.0,0.9333333333333333,False,extreme_pos_rate,
Palmeiras_3,CV,NEGATIVE,otsu,0.25,30.0,0.9333333333333333,False,extreme_pos_rate,
Palmeiras_8,CV,NEGATIVE,otsu,0.25,31.0,0.967741935483871,False,extreme_pos_rate,
Santos_10,CV,NEGATIVE,otsu,0.3333333333333333,40.0,0.925,False,extreme_pos_rate,
Santos_11,CV,NEGATIVE,otsu,0.3333333333333333,40.0,0.925,False,extreme_pos_rate,
Santos_2,CV,NEGATIVE,otsu,0.3333333333333333,33.0,0.9393939393939394,False,extreme_pos_rate,
Santos_3,CV,NEGATIVE,otsu,0.3333333333333333,33.0,0.9393939393939394,False,extreme_pos_rate,
Sport_10,CV,NEGATIVE,otsu,0.25,36.0,0.9444444444444444,False,extreme_pos_rate,
Sport_12,CV,NEGATIVE,otsu,0.25,37.0,0.918918918918919,False,extreme_pos_rate,
Sport_18,CV,NEGATIVE,otsu,0.25,38.0,0.9473684210526315,False,extreme_pos_rate,
Sport_19,CV,NEGATIVE,otsu,0.25,38.0,0.9473684210526315,False,extreme_pos_rate,
Sport_26,CV,NEGATIVE,otsu,0.25,39.0,0.9230769230769231,False,extreme_pos_rate,
Sport_5,CV,NEGATIVE,otsu,0.25,34.0,0.9411764705882353,False,extreme_pos_rate,
Sport_6,CV,NEGATIVE,otsu,0.25,35.0,0.9428571428571428,False,extreme_pos_rate,
Vasco_12,CV,NEGATIVE,otsu,0.25,40.0,0.975,False,extreme_pos_rate,
Vasco_13,CV,NEGATIVE,otsu,0.3333333333333333,39.0,0.9230769230769231,False,extreme_pos_rate,
Vasco_3,CV,NEGATIVE,otsu,0.25,36.0,0.9166666666666666,False,extreme_pos_rate,
Vasco_9,CV,NEGATIVE,otsu,0.3333333333333333,39.0,0.9230769230769231,False,extreme_pos_rate,
validationreviews_angularjs_processed,cv,NEGATIVE,otsu,0.592139782761158,57.0,0.6666666666666666,False,concept_cap,
z_data_rate_tables_licensed_spdcoach2noheader,Total Strokes,,,,,,False,high_cardinality,
z_half_life_tables_licensed_kangxi,strokes,POSITIVE,otsu,7.117647058823529,214.0,0.22429906542056074,True,,0.3768
z_id_tables_licensed_Athl%C3%A9tico-PR_14,CV,NEGATIVE,otsu,0.25,44.0,0.9772727272727273,False,extreme_pos_rate,
z_id_tables_licensed_Athl%C3%A9tico-PR_17,CV,NEGATIVE,otsu,0.25,45.0,0.9777777777777777,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-GO_1,CV,NEGATIVE,otsu,0.25,33.0,0.8787878787878788,False,concept_cap,
z_id_tables_licensed_Atl%C3%A9tico-GO_10,CV,NEGATIVE,otsu,0.25,34.0,0.9411764705882353,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-GO_11,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,concept_cap,
z_id_tables_licensed_Atl%C3%A9tico-GO_12,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,duplicate,
z_id_tables_licensed_Atl%C3%A9tico-GO_13,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,duplicate,
z_id_tables_licensed_Atl%C3%A9tico-GO_14,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,duplicate,
z_id_tables_licensed_Atl%C3%A9tico-GO_15,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,duplicate,
z_id_tables_licensed_Atl%C3%A9tico-GO_16,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,concept_cap,
z_id_tables_licensed_Atl%C3%A9tico-GO_17,CV,NEGATIVE,otsu,0.25,35.0,0.9428571428571428,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-GO_18,CV,NEGATIVE,otsu,0.25,35.0,0.9428571428571428,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-GO_19,CV,NEGATIVE,otsu,0.25,35.0,0.8857142857142857,False,concept_cap,
z_id_tables_licensed_Atl%C3%A9tico-GO_2,CV,NEGATIVE,otsu,0.25,34.0,0.9411764705882353,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-GO_20,CV,NEGATIVE,otsu,0.25,36.0,0.8888888888888888,False,concept_cap,
z_id_tables_licensed_Atl%C3%A9tico-GO_3,CV,NEGATIVE,otsu,0.25,34.0,0.9411764705882353,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-GO_4,CV,NEGATIVE,otsu,0.25,34.0,0.9411764705882353,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-GO_5,CV,NEGATIVE,otsu,0.25,34.0,0.9411764705882353,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-GO_6,CV,NEGATIVE,otsu,0.25,34.0,0.9411764705882353,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-GO_7,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,concept_cap,
z_id_tables_licensed_Atl%C3%A9tico-GO_8,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,concept_cap,
z_id_tables_licensed_Atl%C3%A9tico-GO_9,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,duplicate,
z_id_tables_licensed_Atl%C3%A9tico-MG_10,CV,NEGATIVE,otsu,0.25,31.0,0.967741935483871,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_11,CV,NEGATIVE,otsu,0.25,32.0,0.96875,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_14,CV,NEGATIVE,otsu,0.25,36.0,0.9722222222222222,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_15,CV,NEGATIVE,otsu,0.25,37.0,0.9459459459459459,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_16,CV,NEGATIVE,otsu,0.25,37.0,0.9459459459459459,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_17,CV,NEGATIVE,otsu,0.25,39.0,0.9487179487179487,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_18,CV,NEGATIVE,otsu,0.25,39.0,0.9487179487179487,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_3,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_4,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_5,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_6,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_7,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_8,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_9,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_10,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_11,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_12,CV,NEGATIVE,otsu,0.25,42.0,0.9523809523809523,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_13,CV,NEGATIVE,otsu,0.25,41.0,0.9512195121951219,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_14,CV,NEGATIVE,otsu,0.25,42.0,0.9523809523809523,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_15,CV,NEGATIVE,otsu,0.25,42.0,0.9523809523809523,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_16,CV,NEGATIVE,otsu,0.25,42.0,0.9523809523809523,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_17,CV,NEGATIVE,otsu,0.25,42.0,0.9523809523809523,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_18,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_19,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_2,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_20,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_21,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_22,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_23,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_4,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_5,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_6,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_7,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_8,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_9,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Botafogo_10,CV,NEGATIVE,otsu,0.25,45.0,0.9777777777777777,False,extreme_pos_rate,
