level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.04892367906066536,0.09328358208955224,0.5,-0.8659491193737769,-0.04533027929658638,-0.18346707818930041
baseline_b,0.9471624266144814,0.0,0.43105967078189295,0.03228962818003911,-0.13861386138613863,-0.25240740740740747
baseline,0.9148727984344422,0.13861386138613863,0.6834670781893004,0.0,0.0,0.0
level0,0.9403131115459883,0.06153846153846154,0.4676748971193415,0.025440313111546042,-0.07707539984767708,-0.2157921810699589
level2,0.9060665362035225,0.04,0.5285699588477366,-0.008806262230919737,-0.09861386138613862,-0.1548971193415638
level5,0.9217221135029354,0.2,0.739238683127572,0.006849315068493178,0.061386138613861385,0.0557716049382716
level55,0.9217221135029354,0.2,0.739238683127572,0.006849315068493178,0.061386138613861385,0.0557716049382716
level6,0.9217221135029354,0.2,0.7083333333333334,0.006849315068493178,0.061386138613861385,0.024866255144032956
ensemble,0.9207436399217221,0.19801980198019803,0.6911522633744855,0.005870841487279899,0.0594059405940594,0.007685185185185128
source_ensemble,0.9187866927592955,0.20952380952380953,0.5969958847736625,0.003913894324853229,0.0709099481376709,-0.08647119341563791
oracle,0.9217221135029354,0.2,0.8290123456790123,0.006849315068493178,0.061386138613861385,0.14554526748971186
