level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.9510763209393346,0.0,0.5,0.14579256360078274,-0.19433198380566802,-0.18346707818930041
baseline_b,0.9510763209393346,0.0,0.43105967078189295,0.14579256360078274,-0.19433198380566802,-0.25240740740740747
baseline,0.8052837573385518,0.19433198380566802,0.6834670781893004,0.0,0.0,0.0
level0,0.5782778864970646,0.08879492600422834,0.4676748971193415,-0.22700587084148727,-0.10553705780143968,-0.2157921810699589
level2,0.5782778864970646,0.08879492600422834,0.5285699588477366,-0.22700587084148727,-0.10553705780143968,-0.1548971193415638
level5,0.7602739726027398,0.20195439739413681,0.739238683127572,-0.045009784735812075,0.007622413588468796,0.0557716049382716
level55,0.7602739726027398,0.20195439739413681,0.739238683127572,-0.045009784735812075,0.007622413588468796,0.0557716049382716
level6,0.4980430528375734,0.1260647359454855,0.7083333333333334,-0.30724070450097846,-0.06826724786018251,0.024866255144032956
ensemble,0.7367906066536204,0.16718266253869968,0.6911522633744855,-0.06849315068493145,-0.02714932126696834,0.007685185185185128
source_ensemble,0.9510763209393346,0.0,0.5969958847736625,0.14579256360078274,-0.19433198380566802,-0.08647119341563791
oracle,0.9510763209393346,0.07407407407407407,0.8290123456790123,0.14579256360078274,-0.12025790973159395,0.14554526748971186
