table_id,proxy_col,direction,thresh_method,binarize_thresh,n_rows,positive_rate,kept,reason,proxy_quality
2020-04-11,Die,NEGATIVE,otsu,19.875,83.0,0.9759036144578314,False,extreme_pos_rate,
2020-04-18,Die,NEGATIVE,otsu,39.125,86.0,0.9651162790697675,False,extreme_pos_rate,
2020-04-25,Die,NEGATIVE,otsu,60.08823529411765,86.0,0.9651162790697675,False,extreme_pos_rate,
2020-04-26,Die,NEGATIVE,otsu,65.91176470588235,86.0,0.9651162790697675,False,extreme_pos_rate,
2020-05-20_8,Die,NEGATIVE,otsu,325.0625,86.0,0.9767441860465116,False,extreme_pos_rate,
2020-05-21,Die,NEGATIVE,otsu,319.0147058823529,86.0,0.9767441860465116,False,extreme_pos_rate,
2020-05-22_5,Die,NEGATIVE,otsu,324.9,86.0,0.9767441860465116,False,extreme_pos_rate,
2020-05-23_15,Die,NEGATIVE,otsu,359.33333333333337,86.0,0.9767441860465116,False,extreme_pos_rate,
Athl%C3%A9tico-PR_1,status_id,NEGATIVE,otsu,6.0,40.0,0.7,True,,0.0604
Athl%C3%A9tico-PR_14,status_id,NEGATIVE,otsu,6.0,44.0,0.7272727272727273,True,,0.0641
Athl%C3%A9tico-PR_15,status_id,NEGATIVE,otsu,2.625,45.0,0.08888888888888889,True,,0.1347
Athl%C3%A9tico-PR_3,status_id,NEGATIVE,otsu,6.0,41.0,0.7073170731707317,False,concept_cap,
Athl%C3%A9tico-PR_9,status_id,NEGATIVE,otsu,3.5,43.0,0.13953488372093023,False,concept_cap,
Atl%C3%A9tico-GO_14,status_id,NEGATIVE,otsu,2.8333333333333335,34.0,0.058823529411764705,False,concept_cap,
Atl%C3%A9tico-GO_15,status_id,NEGATIVE,otsu,2.625,34.0,0.058823529411764705,False,concept_cap,
Atl%C3%A9tico-GO_17,status_id,NEGATIVE,otsu,3.6666666666666665,35.0,0.05714285714285714,False,concept_cap,
Atl%C3%A9tico-GO_4,status_id,NEGATIVE,otsu,6.0,34.0,0.6470588235294118,False,concept_cap,
Atl%C3%A9tico-GO_5,status_id,NEGATIVE,otsu,2.8333333333333335,34.0,0.11764705882352941,False,concept_cap,
Atl%C3%A9tico-MG_16,status_id,NEGATIVE,otsu,5.25,37.0,0.02702702702702703,False,extreme_pos_rate,
Atl%C3%A9tico-MG_17,status_id,NEGATIVE,otsu,5.25,39.0,0.02564102564102564,False,extreme_pos_rate,
Atl%C3%A9tico-MG_3,status_id,NEGATIVE,otsu,2.625,30.0,0.06666666666666667,False,concept_cap,
Atl%C3%A9tico-MG_9,status_id,NEGATIVE,otsu,6.0,30.0,0.6,False,concept_cap,
BLS_CFOI_data_states,Fatalities,NEGATIVE,otsu,25.53846153846154,93.0,0.8709677419354839,True,,0.7581
Bahia,status_id,NEGATIVE,otsu,3.6666666666666665,40.0,0.025,False,extreme_pos_rate,
