table_id,discovery_score,rank,proxy_col
modified_dataset,0.6671060229345139,1,Survived
test_3765,0.6334447086837773,2,Survived
respir_7,0.4577446867790326,3,outcome
z_data_rate_tables_licensed_20170509_sd2_r1_2.20Hz_shock,0.30969706847965406,4,survival
z_data_rate_tables_licensed_20170502_sd2_r1_0.02Hz_shock,0.3091025150530768,5,survival
z_beats_per_minute_tables_licensed_prepared_data_1,0.30497181455926764,6,Liveness
z_data_rate_tables_licensed_20170503_sd2_r1_0.2Hz_shock,0.3036482334254795,7,survival
z_then_tables_licensed_Asia,0.3030789060777171,8,casualties
submission_210,0.29345681507261273,9,Survived
z_beats_per_minute_tables_licensed_prepared_data_2,0.28015002371852943,10,Liveness
DotaPlayer_486157553_Matches,0.2703245381904777,11,Deaths
z_crime_rate_tables_licensed_dictionary_1_manual,0.2578864349124333,12,outcome
z_growth_rate_tables_licensed_Albania,0.25738509072282595,13,deceased
z_growth_rate_tables_licensed_Afghanistan_2,0.2437704979433542,14,deceased
z_growth_rate_tables_licensed_Afghanistan_3,0.24099188780775574,15,deceased
z_growth_rate_tables_licensed_52299421_0_4473286348258170200_1,0.23888272039755984,16,infant        mortality
z_id_tables_licensed_stateData_1,0.2382165337708401,17,murder
ID-estimate,0.23627621380324587,18,deaths
z_stopping_point_tables_licensed_stations2017-08-24,0.22962355891844297,19,passengerTraffic
BLS_CFOI_data_states,0.22700868202513524,20,Fatalities
z_half_life_tables_licensed_cards_1,0.2263206691900907,21,Life
DotaPlayer_36707044_Matches_1,0.2235831898906445,22,Deaths
mr_base_mr_results_1,0.2071843769073777,23,id.outcome
z_respiratory_rate_tables_licensed_AUC_withNA,0.20220757700355904,24,mortality_r2
z_beats_per_minute_tables_licensed_top50_15,0.19578773164206756,25,Liveness
med2014_NP_3-rgn-year_status_1,0.16508409415923564,26,status
z_growth_rate_tables_licensed_covid-19_brunei,0.1517831600556305,27,mortality_rate
z_crime_rate_tables_licensed_Anne_Arundel_County_Crime_Rate_By_Type,0.13449723291732787,28,MURDER
z_data_rate_tables_licensed_ukb-b-15892,0.12619819209489452,29,se.outcome
z_id_tables_licensed_class_map,0.1237602680445381,30,status
z_parent_tables_licensed_data_466,0.11668408049938622,31,killed
z_beauty_sleep_tables_licensed_songsutf8,0.1131000110242765,32,live
z_living_thing_tables_licensed_data_cleaned_10,0.11229224517915543,33,live
z_beauty_sleep_tables_licensed_data_cleaned_2,0.11218625045027658,34,live
z_id_tables_licensed_yellow_tripdata_time_format_test,0.09770124262472173,35,passenger_count
z_growth_rate_tables_licensed_covid-19_benin,0.0933851765760074,36,mortality_rate
z_id_tables_licensed_Grasby2020surfarea_5e-6_Yengo2018bmi_MRdat,0.09262533130230843,37,se.outcome
z_growth_rate_tables_licensed_covid-19_costa_rica,0.08483972340267051,38,mortality_rate
Grasby2020surfarea_5e-6_Yengo2018bmi_MRdat_1,0.07276119389650916,39,se.outcome
z_then_tables_licensed_slash_crit,0.06795754854878508,40,die
test_pheno_singleobs_1,0.06086837446651044,41,outcome
z_half_life_tables_licensed_backup_150_urls,0.04879141828134535,42,STATUS
z_half_life_tables_licensed_poets,0.04104486235675997,43,death
Athl%C3%A9tico-PR_15,0.03573422669401454,44,status_id
Athl%C3%A9tico-PR_14,0.017018234431298913,45,status_id
z_id_tables_licensed_khans,0.012893190099691188,46,died
Athl%C3%A9tico-PR_1,0.010388922887920593,47,status_id
