level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.40669856459330145,0.5782312925170068,0.5,-0.1866028708133971,0.07530731590881967,-0.13780834914611018
baseline_b,0.7033492822966507,0.6352941176470588,0.7083965844402278,0.11004784688995217,0.13237014103887168,0.07058823529411762
baseline,0.5933014354066986,0.5029239766081871,0.6378083491461102,0.0,0.0,0.0
level0,0.6124401913875598,0.5263157894736842,0.6525616698292219,0.019138755980861233,0.023391812865497075,0.014753320683111748
level2,0.6746411483253588,0.6,0.6898481973434536,0.08133971291866027,0.09707602339181287,0.05203984819734342
level2_lsc,0.6124401913875598,0.5263157894736842,0.6636622390891839,0.019138755980861233,0.023391812865497075,0.025853889943073693
level5,0.6555023923444976,0.5764705882352941,0.6381404174573054,0.062200956937799035,0.07354661162710696,0.00033206831119525493
level55,0.7129186602870813,0.6470588235294118,0.7605313092979126,0.11961722488038273,0.1441348469212247,0.1227229601518024
level6,0.6555023923444976,0.5764705882352941,0.6381404174573054,0.062200956937799035,0.07354661162710696,0.00033206831119525493
ensemble,0.6411483253588517,0.5614035087719298,0.6874762808349146,0.04784688995215314,0.05847953216374269,0.049667931688804456
source_ensemble,0.507177033492823,0.39766081871345027,0.5671726755218216,-0.0861244019138756,-0.10526315789473684,-0.07063567362428858
oracle,0.8325358851674641,0.7953216374269005,0.8803130929791272,0.23923444976076558,0.29239766081871343,0.242504743833017
