level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.5933014354066986,0.0,0.5,-0.13397129186602874,-0.6122448979591837,-0.2646584440227704
baseline_b,0.22966507177033493,0.12021857923497267,0.13908918406072107,-0.4976076555023924,-0.492026318724211,-0.6255692599620493
baseline,0.7272727272727273,0.6122448979591837,0.7646584440227704,0.0,0.0,0.0
level0,0.6076555023923444,0.5232558139534884,0.658965844402277,-0.11961722488038284,-0.08898908400569527,-0.10569259962049338
level2,0.6746411483253588,0.66,0.7278937381404174,-0.052631578947368474,0.047755102040816344,-0.03676470588235303
level5,0.7177033492822966,0.6549707602339181,0.749146110056926,-0.009569377990430672,0.042725862274734405,-0.015512333965844394
level55,0.6985645933014354,0.6272189349112426,0.7407020872865275,-0.028708133971291905,0.0149740369520589,-0.023956356736242856
level6,0.7177033492822966,0.6740331491712708,0.7774193548387096,-0.009569377990430672,0.061788251212087086,0.01276091081593922
ensemble,0.6507177033492823,0.6439024390243903,0.7787476280834914,-0.07655502392344504,0.031657541065206574,0.014089184060721016
source_ensemble,0.6124401913875598,0.49056603773584906,0.6675047438330171,-0.11483253588516751,-0.12167886022333463,-0.09715370018975333
oracle,0.8516746411483254,0.8098159509202454,0.8936432637571158,0.12440191387559807,0.1975710529610617,0.1289848197343454
