table_id,proxy_col,direction,thresh_method,binarize_thresh,n_rows,positive_rate,kept,reason,proxy_quality
Raw%20data%20Germany%20Human%20samples,Employed,NEGATIVE,otsu,0.25,33.0,0.8181818181818182,True,,0.8636
z_attrition_rate_tables_licensed_test-data,Attrition,POSITIVE,otsu,0.25,294.0,0.1870748299319728,True,,0.8741
z_attrition_rate_tables_licensed_test_2,Attrition,POSITIVE,otsu,0.25,282.0,0.1347517730496454,True,,0.7695
z_attrition_rate_tables_licensed_train,Attrition,POSITIVE,otsu,0.25,1188.0,0.1675084175084175,True,,0.835
z_data_rate_tables_licensed_all-ages_4,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_all-ages_5,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_all-ages_9,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_all_90,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_all_91,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_grads-dataset,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_10,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_103,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_110,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_120,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_139,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_142,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_143,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_144,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_15,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_155,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_16,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_163,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_175,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_196,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_201,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_30,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_31,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_41,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_48,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_49,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_52,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_6,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_77,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_83,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_84,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent-grads_96,Employed,,,,,,False,high_cardinality,
z_data_rate_tables_licensed_recent_grad,Employed,,,,,,False,high_cardinality,
z_id_tables_licensed_Raw%20data%20Germany%20Human%20samples,Employed,NEGATIVE,otsu,0.25,33.0,0.8181818181818182,False,duplicate,
z_id_tables_licensed_Raw%20data%20Germany%20Human%20samples_2019_10_24,Employed,NEGATIVE,otsu,0.25,33.0,0.8181818181818182,True,,0.8636
z_id_tables_licensed_Raw%20data%20Germany%20Human%20samples_2019_10_24_1,Employed,NEGATIVE,otsu,0.25,33.0,0.8181818181818182,False,duplicate,
z_processing_time_tables_licensed_all_64,Employed,,,,,,False,high_cardinality,
