level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.014366565084893338,0.02832618025751073,0.5,-0.9566100711072414,0.02832618025751073,0.06437386229789055
baseline_b,0.6723262226092004,0.03006872852233677,0.5186367503063617,-0.2986504135829343,0.03006872852233677,0.08301061260425224
baseline,0.9709766361921347,0.0,0.43562613770210945,0.0,0.0,0.0
level0,0.7527209403569873,0.026285714285714287,0.4585913611973682,-0.21825569583514737,0.026285714285714287,0.022965223495258758
level2,0.7527209403569873,0.026285714285714287,0.4585913611973682,-0.21825569583514737,0.026285714285714287,0.022965223495258758
level5,0.972427804382528,0.04040404040404041,0.5160720871851614,0.0014511681903932594,0.04040404040404041,0.08044594948305195
level55,0.9730082716586852,0.06060606060606061,0.5061896943522386,0.0020316354665504965,0.06060606060606061,0.07056355665012914
level6,0.9712668698302134,0.0,0.5007093907270586,0.0002902336380786741,0.0,0.0650832530249491
ensemble,0.9712668698302134,0.0,0.48905277748033926,0.0002902336380786741,0.0,0.05342663977822981
source_ensemble,0.7527209403569873,0.026285714285714287,0.4563657779205483,-0.21825569583514737,0.026285714285714287,0.020739640218438826
oracle,0.9760557248585111,0.1708542713567839,0.725085810995705,0.005079088666376408,0.1708542713567839,0.28945967329359557
