level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.9856334349151067,0.0,0.5,0.04832390074009585,-0.03139013452914798,-0.023140712186648593
baseline_b,0.014366565084893338,0.02832618025751073,0.5232968673781395,-0.9229429690901175,-0.0030639542716372516,0.00015615519149092538
baseline,0.9373095341750108,0.03139013452914798,0.5231407121866486,0.0,0.0,0.0
level0,0.8796981570163982,0.0304093567251462,0.494983700372393,-0.05761137715861264,-0.000980777804001784,-0.028157011814255617
level2,0.4517486576694239,0.03177857508969759,0.5071355486549833,-0.48556087650558694,0.0003884405605496105,-0.016005163531665256
level2_lsc,0.5585546364823684,0.03244274809160305,0.5147819478649867,-0.3787548976926425,0.0010526135624550695,-0.008358764321661938
level5,0.9743143230300392,0.0111731843575419,0.4605611473986032,0.03700478885502834,-0.02021695017160608,-0.06257956478804538
level55,0.9740240893919605,0.011049723756906077,0.46059237843690143,0.03671455521694966,-0.020340410772241906,-0.06254833374974716
level6,0.6997533014076331,0.02267359470949457,0.4365459661396057,-0.2375562327673777,-0.008716539819653413,-0.08659474604704287
ensemble,0.8612683209984037,0.024489795918367346,0.51472617815374,-0.07604121317660717,-0.006900338610780637,-0.008414534032908594
source_ensemble,0.9113336235669715,0.04381846635367762,0.5172083021022951,-0.025975910608039388,0.01242833182452964,-0.005932410084353523
oracle,0.9856334349151067,0.0,0.7374637125078821,0.04832390074009585,-0.03139013452914798,0.21432300032123353
