level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.014366565084893338,0.02832618025751073,0.5,-0.9535626179074155,0.019357570392039877,-0.005609689355272396
baseline_b,0.9856334349151067,0.0,0.5156408014181866,0.017704251922797898,-0.008968609865470852,0.010031112062914183
baseline,0.9679291829923088,0.008968609865470852,0.5056096893552724,0.0,0.0,0.0
level0,0.9856334349151067,0.0,0.4574224280496365,0.017704251922797898,-0.008968609865470852,-0.04818726130563589
level2,0.9725729212015672,0.02072538860103627,0.44601268872470284,0.004643738209258452,0.011756778735565418,-0.05959700063056955
level5,0.972427804382528,0.04040404040404041,0.5026576126399447,0.004498621390219171,0.03143543053856956,-0.0029520767153277117
level55,0.9728631548396459,0.06030150753768844,0.5050400947044057,0.004933971847337126,0.05133289767221759,-0.0005695946508667005
level6,0.9712668698302134,0.0,0.49233649807854757,0.0033376868379045854,-0.008968609865470852,-0.013273191276724827
ensemble,0.971121753011174,0.0,0.4423370929554675,0.003192570018865193,-0.008968609865470852,-0.06327259639980487
source_ensemble,0.7527209403569873,0.026285714285714287,0.45796674043140473,-0.21520824263532146,0.017317104420243437,-0.04764294892386767
oracle,0.9760557248585111,0.1708542713567839,0.725085810995705,0.00812654186620232,0.16188566149131306,0.21947612164043262
