level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.9856334349151067,0.0,0.5,0.022928457408213587,-0.007722007722007722,-0.005609689355272396
baseline_b,0.014366565084893338,0.02832618025751073,0.5156408014181866,-0.9483384124219998,0.020604172535503007,0.010031112062914183
baseline,0.9627049775068931,0.007722007722007722,0.5056096893552724,0.0,0.0,0.0
level0,0.7527209403569873,0.026285714285714287,0.4574224280496365,-0.20998403714990577,0.018563706563706567,-0.04818726130563589
level2,0.41227688289072706,0.022683397683397683,0.44601268872470284,-0.550428094616166,0.014961389961389961,-0.05959700063056955
level5,0.9856334349151067,0.0,0.5026576126399447,0.022928457408213587,-0.007722007722007722,-0.0029520767153277117
level55,0.9856334349151067,0.0,0.5050400947044057,0.022928457408213587,-0.007722007722007722,-0.0005695946508667005
level6,0.673922507618633,0.027693639117265252,0.49233649807854757,-0.28878246988826006,0.01997163139525753,-0.013273191276724827
ensemble,0.8276012189812799,0.019801980198019802,0.4423370929554675,-0.13510375852561318,0.01207997247601208,-0.06327259639980487
source_ensemble,0.9856334349151067,0.0,0.45796674043140473,0.022928457408213587,-0.007722007722007722,-0.04764294892386767
oracle,0.9854883180960673,0.0196078431372549,0.725085810995705,0.022783340589174195,0.01188583541524718,0.21947612164043262
