,similarity
wt_20662829-4,0.4205327665268699
wt_1555229-1,0.39047196466883377
wt_1078777-3,0.38205546960849446
wt_1521050-2,0.3610727944667817
wt_1524955-2,0.353408076872866
wt_173345-5,0.3488566546953671
wt_1328342-2,0.3405369601921902
wt_12478756-2,0.3367214928550263
wt_2126093-4,0.3260351387996175
wt_1323466-17,0.3251180722320731
wt_1324913-1,0.32161956952168785
wt_20999523-1,0.3214344549488252
wt_12878527-1,0.3159543478265732
wt_1388818-7,0.3088470571380813
wt_2156581-1,0.306782815606412
wt_2028595-7,0.3023341050264948
wt_21384212-1,0.30048818160364343
wt_18862490-2,0.2986231167284958
wt_11570261-5,0.29815382485497305
wt_13026799-3,0.29751810987678184
wt_13129239-1,0.29578894046644494
wt_2053870-6,0.2934068286724444
wt_20902988-2,0.2932826286124874
wt_1524633-5,0.2907923970706213
wt_14640475-3,0.2887043427940917
wt_20915676-1,0.28477569714262474
wt_20625573-2,0.28453018974412364
wt_14975292-2,0.28261931314812677
wt_173345-6,0.28261931314812677
wt_11602626-3,0.28168211647344904
wt_11602885-3,0.28168211647344904
wt_11603006-3,0.28168211647344904
wt_11603116-3,0.28168211647344904
wt_11603267-3,0.28168211647344904
wt_11603398-3,0.28168211647344904
wt_11621747-3,0.28168211647344904
wt_11621799-3,0.28168211647344904
wt_11621841-3,0.28168211647344904
wt_11621873-3,0.28168211647344904
wt_11621915-3,0.28168211647344904
wt_11621943-3,0.28168211647344904
wt_11622006-3,0.28168211647344904
wt_11622255-3,0.28168211647344904
wt_11622318-3,0.28168211647344904
wt_11622392-3,0.28168211647344904
wt_11622496-3,0.28168211647344904
wt_11622562-3,0.28168211647344904
wt_11622595-3,0.28168211647344904
wt_11622771-3,0.28168211647344904
wt_11622829-3,0.28168211647344904
wt_11622840-3,0.28168211647344904
wt_11622862-3,0.28168211647344904
wt_11622896-2,0.28168211647344904
wt_11622924-2,0.28168211647344904
wt_11622943-2,0.28168211647344904
wt_14583208-3,0.28168211647344904
wt_14583225-3,0.28168211647344904
wt_14583241-3,0.28168211647344904
wt_14583258-3,0.28168211647344904
wt_14583266-3,0.28168211647344904
wt_14611430-3,0.28168211647344904
wt_14611466-3,0.28168211647344904
wt_14611491-3,0.28168211647344904
wt_14611511-3,0.28168211647344904
wt_14611590-3,0.28168211647344904
wt_14611619-3,0.28168211647344904
wt_14611644-3,0.28168211647344904
wt_14611663-3,0.28168211647344904
wt_14611688-3,0.28168211647344904
wt_14611720-3,0.28168211647344904
wt_14639860-3,0.28168211647344904
wt_14639984-3,0.28168211647344904
wt_14640069-3,0.28168211647344904
wt_14640226-3,0.28168211647344904
wt_14640372-3,0.28168211647344904
wt_14640450-3,0.28168211647344904
wt_14640525-3,0.28168211647344904
wt_14640571-3,0.28168211647344904
wt_14640656-3,0.28168211647344904
wt_15346009-3,0.28168211647344904
wt_21260421-3,0.28168211647344904
wt_1590038-4,0.2812049056745845
wt_1852079-3,0.2807134225812272
wt_15318007-2,0.28033020870091235
wt_20748303-2,0.28008853379343257
wt_11608735-3,0.2769917175608702
wt_11602626-4,0.27656249203507427
wt_11602885-4,0.27656249203507427
wt_11603006-4,0.27656249203507427
wt_11603116-4,0.27656249203507427
wt_11603267-4,0.27656249203507427
wt_11603398-4,0.27656249203507427
wt_11621747-4,0.27656249203507427
wt_11621799-4,0.27656249203507427
wt_11621841-4,0.27656249203507427
wt_11621873-4,0.27656249203507427
wt_11621915-4,0.27656249203507427
wt_11621943-4,0.27656249203507427
wt_11622006-4,0.27656249203507427
wt_11622255-4,0.27656249203507427
wt_11622318-4,0.27656249203507427
wt_11622392-4,0.27656249203507427
wt_11622496-4,0.27656249203507427
wt_11622562-4,0.27656249203507427
wt_11622595-4,0.27656249203507427
wt_11622771-4,0.27656249203507427
wt_11622829-4,0.27656249203507427
wt_11622840-4,0.27656249203507427
wt_11622862-4,0.27656249203507427
wt_14583208-4,0.27656249203507427
wt_14583225-4,0.27656249203507427
wt_14583241-4,0.27656249203507427
wt_14583258-4,0.27656249203507427
wt_14583266-4,0.27656249203507427
wt_14611430-4,0.27656249203507427
wt_14611466-4,0.27656249203507427
