,similarity
wt_174990-2,0.3966651479367246
wt_14713631-3,0.2471968618186141
wt_10780216-5,0.2442353261659271
wt_211615-2,0.2120942282468069
wt_10367440-3,0.1996873519521048
wt_1372018-1,0.19642467372097544
wt_1531611-2,0.19306702357306485
wt_1521470-1,0.19087428890634123
wt_1454296-2,0.19069887013300338
wt_1642587-1,0.18977792157297943
wt_1863453-1,0.18977792157297943
wt_14105-3,0.18931915895621398
wt_1241161-1,0.18912010117296235
wt_1241190-1,0.18868155423961763
wt_1788337-1,0.1882430073062729
wt_12264570-2,0.1879262256503739
wt_1284132-1,0.18778821789391542
wt_1241263-1,0.18695044792378318
wt_2042350-1,0.1865685553789567
wt_1018003-1,0.186488819572894
wt_15774004-1,0.1859406359062131
wt_1600260-2,0.1859406359062131
wt_1599654-1,0.18530108829508538
wt_1563377-1,0.18466154068395765
wt_1522862-1,0.1842960849061704
wt_2137782-1,0.1842960849061704
wt_1458202-1,0.18414990259505548
wt_2082064-1,0.18363826450615328
wt_1081163-1,0.183600827572819
wt_1921673-1,0.1834987268455436
wt_2013078-1,0.1832403237703405
wt_1475604-1,0.1827052774028611
wt_1548575-1,0.18260660081869481
wt_1974687-2,0.17989756708648116
wt_17045265-1,0.17958785109891853
wt_11658094-3,0.17714348624117673
wt_1715730-2,0.1758916313114929
wt_15055807-1,0.17542218571286147
wt_1973729-2,0.17517628563738788
wt_1973816-2,0.17517628563738788
wt_1969634-3,0.17438940539587233
wt_2117061-2,0.17438940539587233
wt_16168849-1,0.17408339641306075
wt_1229170-3,0.17370088518454624
wt_1969577-3,0.17370088518454624
wt_1286941-1,0.17039919036060427
wt_1974443-2,0.1703237348164495
wt_1973842-2,0.17025828412791572
wt_13563342-1,0.16829624833199952
wt_1286938-1,0.16760768746725288
wt_1624379-1,0.16752668030669443
wt_1440570-1,0.16742407123665376
wt_1519671-1,0.16742407123665376
wt_10577579-3,0.16730748322223243
wt_1151835-1,0.1668426198397566
wt_1533593-1,0.1668426198397566
wt_1967558-1,0.1668426198397566
wt_1558260-1,0.16642729741340145
wt_1619376-1,0.16642729741340145
wt_1624493-1,0.16642729741340145
wt_2091256-1,0.16642729741340145
wt_12575875-1,0.16623056573775954
wt_1566345-1,0.16598754425608428
wt_1619379-1,0.16567971704596224
wt_17528530-1,0.16567971704596224
wt_18396293-1,0.16527717377118728
wt_1549570-1,0.16518133013433609
wt_1006150-1,0.16502558422445293
wt_10137133-1,0.16502558422445293
wt_21021458-1,0.16502558422445293
wt_1245951-1,0.16485344400826624
wt_1263523-1,0.16485344400826624
wt_10355789-1,0.16472825112376688
wt_1861226-1,0.16472825112376688
wt_1415024-1,0.1645583464948034
wt_1484635-1,0.1645583464948034
wt_1202226-1,0.16393536285527072
wt_12518242-1,0.16393536285527072
wt_1286926-1,0.16393536285527072
wt_13188207-1,0.16393536285527072
wt_1524227-1,0.16393536285527072
wt_1611795-1,0.16393536285527072
wt_1624486-1,0.16393536285527072
wt_1635845-1,0.16393536285527072
wt_1967564-1,0.16393536285527072
wt_1670144-1,0.1635864920171324
wt_1338282-1,0.16339025217067962
wt_1519632-2,0.16339025217067962
wt_1635931-1,0.16339025217067962
wt_1521488-1,0.16333386141020467
wt_1287461-1,0.16326445739731243
wt_1344560-1,0.16306318575992496
wt_1533302-1,0.16306318575992496
wt_1583948-1,0.16306318575992496
wt_1635803-1,0.16306318575992496
wt_11717952-1,0.16268939557620535
wt_1297462-1,0.16268939557620535
wt_1524331-1,0.16268939557620535
wt_1555271-1,0.16268939557620535
wt_1622063-1,0.16268939557620535
wt_1566276-1,0.16234958631827842
wt_1571197-1,0.16234958631827842
wt_1699080-1,0.16234958631827842
wt_12356921-1,0.1621910086645792
wt_1352989-1,0.16213970412955886
wt_16304774-1,0.16213970412955886
wt_108122-1,0.16209920054927965
wt_1547333-1,0.16175492011690631
wt_1563790-1,0.16175492011690631
wt_1618809-1,0.16175492011690631
wt_101363-1,0.16137013610425377
wt_1018087-1,0.16137013610425377
wt_1042626-1,0.16125174102343762
wt_1618839-1,0.16125174102343762
wt_1388160-1,0.16082044465760728
wt_2120866-1,0.16066469874772413
wt_1005854-1,0.16044665447388767
wt_13080265-1,0.16044665447388767
wt_1496282-1,0.16044665447388767
wt_1554999-1,0.16044665447388767
wt_1559919-1,0.16044665447388767
wt_1287459-1,0.1602453828365002
wt_21102462-1,0.1602453828365002
wt_21102461-1,0.16005902020928955
wt_12521380-1,0.16001946569249384
wt_12837363-1,0.15997092151278997
wt_1346163-1,0.1594566156089006
wt_19903555-1,0.1594566156089006
wt_20557517-1,0.15934495709029303
wt_20450233-1,0.15928375168009332
wt_12041890-1,0.15895149373900924
wt_1412870-1,0.15895149373900924
wt_1619359-1,0.15895149373900924
wt_1624382-1,0.15895149373900924
wt_1624489-1,0.15895149373900924
wt_1635822-1,0.15895149373900924
wt_16549198-1,0.15895149373900924
wt_2000169-1,0.15895149373900924
wt_11717914-1,0.158864565789307
wt_2003583-1,0.15878158911004575
wt_1861216-1,0.15870230028319615
wt_1865378-1,0.15862645879664436
wt_1023825-1,0.1584842560093597
wt_1522338-1,0.1584842560093597
wt_18099101-1,0.1584842560093597
wt_1897164-1,0.1584842560093597
wt_15110809-1,0.15842687593729748
wt_1037574-1,0.1583851449757977
wt_2161307-1,0.1583851449757977
wt_14080333-1,0.158120848886299
wt_1546351-1,0.158120848886299
wt_20145234-1,0.158120848886299
wt_21150572-1,0.15804227437320476
wt_1298348-2,0.15796783536079972
wt_16674546-1,0.15794728130513563
wt_1519666-2,0.1578301231878504
wt_1865444-1,0.1578301231878504
wt_13022741-1,0.15776935402748923
wt_1519670-1,0.15776630535160557
wt_14625821-1,0.15761652879715346
wt_13619139-5,0.1575946567745887
wt_1667097-1,0.15748883649836729
wt_17214488-1,0.15744042703886613
wt_1363831-1,0.1573940346401775
