fraction,seed,method,metric,value
0.001,0,uda,auc,0.7667515191659475
0.001,0,uda,accuracy,0.7822704473334016
0.001,0,uda_cal,auc,0.7667515191659475
0.001,0,uda_cal,accuracy,0.7822704473334016
0.001,0,target_only,auc,0.7649059111145031
0.001,0,target_only,accuracy,0.7659944723103695
0.001,0,target_only_cal,auc,0.7649059111145031
0.001,0,target_only_cal,accuracy,0.7659944723103695
0.001,0,vla,auc,0.7978280131587567
0.001,0,vla,accuracy,0.7894359709284471
0.001,0,vla_st,auc,0.7680772027661616
0.001,0,vla_st,accuracy,0.7651755553280786
0.001,0,routed,auc,0.7978280131587567
0.001,0,routed,accuracy,0.7894359709284471
0.001,0,oracle,auc,0.9264249630964727
0.001,0,oracle,accuracy,0.8730678677449074
0.001,1,uda,auc,0.7667515191659475
0.001,1,uda,accuracy,0.7822704473334016
0.001,1,uda_cal,auc,0.7667515191659475
0.001,1,uda_cal,accuracy,0.7822704473334016
0.001,1,target_only,auc,0.8020858335235637
0.001,1,target_only,accuracy,0.8068379568021292
0.001,1,target_only_cal,auc,0.8020858335235637
0.001,1,target_only_cal,accuracy,0.8068379568021292
0.001,1,vla,auc,0.8215828853280231
0.001,1,vla,accuracy,0.7986487869792199
0.001,1,vla_st,auc,0.7775002506665543
0.001,1,vla_st,accuracy,0.7941447435766199
0.001,1,routed,auc,0.8215828853280231
0.001,1,routed,accuracy,0.7986487869792199
0.001,1,oracle,auc,0.9264249630964727
0.001,1,oracle,accuracy,0.8730678677449074
0.001,2,uda,auc,0.7667515191659475
0.001,2,uda,accuracy,0.7822704473334016
0.001,2,uda_cal,auc,0.7667515191659475
0.001,2,uda_cal,accuracy,0.7822704473334016
0.001,2,target_only,auc,0.8240347841142216
0.001,2,target_only,accuracy,0.8057119459514792
0.001,2,target_only_cal,auc,0.8240347841142216
0.001,2,target_only_cal,accuracy,0.8057119459514792
0.001,2,vla,auc,0.8269261407975904
0.001,2,vla,accuracy,0.7951683898044836
0.001,2,vla_st,auc,0.832771132284137
0.001,2,vla_st,accuracy,0.7960896714095609
0.001,2,routed,auc,0.8269261407975904
0.001,2,routed,accuracy,0.7951683898044836
0.001,2,oracle,auc,0.9264249630964727
0.001,2,oracle,accuracy,0.8730678677449074
0.001,3,uda,auc,0.7667515191659475
0.001,3,uda,accuracy,0.7822704473334016
0.001,3,uda_cal,auc,0.7667515191659475
0.001,3,uda_cal,accuracy,0.7822704473334016
0.001,3,target_only,auc,0.7568513414373168
0.001,3,target_only,accuracy,0.7446002661480192
0.001,3,target_only_cal,auc,0.7568513414373168
0.001,3,target_only_cal,accuracy,0.7446002661480192
0.001,3,vla,auc,0.7693332695586967
