fraction,seed,method,metric,value
0.001,0,uda,auc,0.6746262782414569
0.001,0,uda,accuracy,0.3854915404180029
0.001,0,uda_cal,auc,0.6746262782414569
0.001,0,uda_cal,accuracy,0.3854915404180029
0.001,0,target_only,auc,0.6811486092188449
0.001,0,target_only,accuracy,0.8825610969810903
0.001,0,target_only_cal,auc,0.6811486092188449
0.001,0,target_only_cal,accuracy,0.8825610969810903
0.001,0,vla,auc,0.6866196424534187
0.001,0,vla,accuracy,0.8687382505805595
0.001,0,vla_st,auc,0.6866196424534187
0.001,0,vla_st,accuracy,0.8687382505805595
0.001,0,routed,auc,0.6866196424534187
0.001,0,routed,accuracy,0.8687382505805595
0.001,0,oracle,auc,0.9285637176511252
0.001,0,oracle,accuracy,0.9078845515868628
0.001,1,uda,auc,0.6746262782414569
0.001,1,uda,accuracy,0.3854915404180029
0.001,1,uda_cal,auc,0.6746262782414569
0.001,1,uda_cal,accuracy,0.3854915404180029
0.001,1,target_only,auc,0.7224575142664709
0.001,1,target_only,accuracy,0.8830034280659074
0.001,1,target_only_cal,auc,0.7224575142664709
0.001,1,target_only_cal,accuracy,0.8830034280659074
0.001,1,vla,auc,0.7906095195031326
0.001,1,vla,accuracy,0.8477275240517528
0.001,1,vla_st,auc,0.7906095195031326
0.001,1,vla_st,accuracy,0.8477275240517528
0.001,1,routed,auc,0.7224575142664709
0.001,1,routed,accuracy,0.8830034280659074
0.001,1,oracle,auc,0.9285637176511252
0.001,1,oracle,accuracy,0.9078845515868628
0.001,2,uda,auc,0.6746262782414569
0.001,2,uda,accuracy,0.3854915404180029
0.001,2,uda_cal,auc,0.6746262782414569
0.001,2,uda_cal,accuracy,0.3854915404180029
0.001,2,target_only,auc,0.7072852216999501
0.001,2,target_only,accuracy,0.8830034280659074
0.001,2,target_only_cal,auc,0.7072852216999501
0.001,2,target_only_cal,accuracy,0.8830034280659074
0.001,2,vla,auc,0.5898336081476019
0.001,2,vla,accuracy,0.8786906999889417
0.001,2,vla_st,auc,0.5898336081476019
0.001,2,vla_st,accuracy,0.8786906999889417
0.001,2,routed,auc,0.5898336081476019
0.001,2,routed,accuracy,0.8786906999889417
0.001,2,oracle,auc,0.9285637176511252
0.001,2,oracle,accuracy,0.9078845515868628
0.001,3,uda,auc,0.6746262782414569
0.001,3,uda,accuracy,0.3854915404180029
0.001,3,uda_cal,auc,0.6746262782414569
0.001,3,uda_cal,accuracy,0.3854915404180029
0.001,3,target_only,auc,0.7112769334752187
0.001,3,target_only,accuracy,0.8830034280659074
0.001,3,target_only_cal,auc,0.7112769334752187
0.001,3,target_only_cal,accuracy,0.8830034280659074
0.001,3,vla,auc,0.7368010435445478
0.001,3,vla,accuracy,0.8835563419219286
0.001,3,vla_st,auc,0.7368010435445478
0.001,3,vla_st,accuracy,0.8835563419219286
0.001,3,routed,auc,0.7112769334752187
0.001,3,routed,accuracy,0.8830034280659074
0.001,3,oracle,auc,0.9285637176511252
0.001,3,oracle,accuracy,0.9078845515868628
0.001,4,uda,auc,0.6746262782414569
0.001,4,uda,accuracy,0.3854915404180029
0.001,4,uda_cal,auc,0.6746262782414569
0.001,4,uda_cal,accuracy,0.3854915404180029
0.001,4,target_only,auc,0.7621784939388954
0.001,4,target_only,accuracy,0.8830034280659074
0.001,4,target_only_cal,auc,0.7621784939388954
0.001,4,target_only_cal,accuracy,0.8830034280659074
0.001,4,vla,auc,0.7205339524841592
0.001,4,vla,accuracy,0.8773637067344907
0.001,4,vla_st,auc,0.7205339524841592
0.001,4,vla_st,accuracy,0.8773637067344907
0.001,4,routed,auc,0.7621784939388954
0.001,4,routed,accuracy,0.8830034280659074
0.001,4,oracle,auc,0.9285637176511252
0.001,4,oracle,accuracy,0.9078845515868628
0.005,0,uda,auc,0.6746262782414569
0.005,0,uda,accuracy,0.3854915404180029
0.005,0,uda_cal,auc,0.6746262782414569
0.005,0,uda_cal,accuracy,0.3854915404180029
0.005,0,target_only,auc,0.7975415861261606
0.005,0,target_only,accuracy,0.8625456153931218
0.005,0,target_only_cal,auc,0.7975415861261606
0.005,0,target_only_cal,accuracy,0.8625456153931218
0.005,0,vla,auc,0.8156311515092688
0.005,0,vla,accuracy,0.8642043569611855
0.005,0,vla_st,auc,0.8156311515092688
0.005,0,vla_st,accuracy,0.8642043569611855
0.005,0,routed,auc,0.8156311515092688
0.005,0,routed,accuracy,0.8642043569611855
0.005,0,oracle,auc,0.9285637176511252
0.005,0,oracle,accuracy,0.9078845515868628
0.005,1,uda,auc,0.6746262782414569
0.005,1,uda,accuracy,0.3854915404180029
0.005,1,uda_cal,auc,0.6746262782414569
0.005,1,uda_cal,accuracy,0.3854915404180029
0.005,1,target_only,auc,0.8414618383003103
0.005,1,target_only,accuracy,0.883777507464337
0.005,1,target_only_cal,auc,0.8414618383003103
0.005,1,target_only_cal,accuracy,0.883777507464337
0.005,1,vla,auc,0.843102497239034
0.005,1,vla,accuracy,0.8856574145748093
0.005,1,vla_st,auc,0.843102497239034
0.005,1,vla_st,accuracy,0.8856574145748093
0.005,1,routed,auc,0.843102497239034
0.005,1,routed,accuracy,0.8856574145748093
0.005,1,oracle,auc,0.9285637176511252
0.005,1,oracle,accuracy,0.9078845515868628
0.005,2,uda,auc,0.6746262782414569
0.005,2,uda,accuracy,0.3854915404180029
0.005,2,uda_cal,auc,0.6746262782414569
0.005,2,uda_cal,accuracy,0.3854915404180029
0.005,2,target_only,auc,0.8129448173737858
0.005,2,target_only,accuracy,0.8811235209554351
0.005,2,target_only_cal,auc,0.8129448173737858
0.005,2,target_only_cal,accuracy,0.8811235209554351
