fraction,seed,method,metric,value
0.001,0,uda,auc,0.5338280503242141
0.001,0,uda,accuracy,0.5287437899219305
0.001,0,uda_cal,auc,
0.001,0,uda_cal,accuracy,
0.001,0,target_only,auc,0.5
0.001,0,target_only,accuracy,0.7345635202271115
0.001,0,target_only_cal,auc,
0.001,0,target_only_cal,accuracy,
0.001,0,vla,auc,0.6474669973391199
0.001,0,vla,accuracy,0.6572036905606813
0.001,0,vla_st,auc,0.6474669973391199
0.001,0,vla_st,accuracy,0.6572036905606813
0.001,0,routed,auc,0.5
0.001,0,routed,accuracy,0.7345635202271115
0.001,0,oracle,auc,0.8425275775659408
0.001,0,oracle,accuracy,0.7984386089425124
0.001,1,uda,auc,0.5338280503242141
0.001,1,uda,accuracy,0.5287437899219305
0.001,1,uda_cal,auc,
0.001,1,uda_cal,accuracy,
0.001,1,target_only,auc,0.5
0.001,1,target_only,accuracy,0.7345635202271115
0.001,1,target_only_cal,auc,
0.001,1,target_only_cal,accuracy,
0.001,1,vla,auc,0.5318582241855899
0.001,1,vla,accuracy,0.7111426543647977
0.001,1,vla_st,auc,0.5318582241855899
0.001,1,vla_st,accuracy,0.7111426543647977
0.001,1,routed,auc,0.5
0.001,1,routed,accuracy,0.7345635202271115
0.001,1,oracle,auc,0.8425275775659408
0.001,1,oracle,accuracy,0.7984386089425124
0.001,2,uda,auc,0.5338280503242141
0.001,2,uda,accuracy,0.5287437899219305
0.001,2,uda_cal,auc,
0.001,2,uda_cal,accuracy,
0.001,2,target_only,auc,0.5
0.001,2,target_only,accuracy,0.7345635202271115
0.001,2,target_only_cal,auc,
0.001,2,target_only_cal,accuracy,
0.001,2,vla,auc,0.5324356092898292
0.001,2,vla,accuracy,0.47906316536550747
0.001,2,vla_st,auc,0.5324356092898292
0.001,2,vla_st,accuracy,0.47906316536550747
0.001,2,routed,auc,0.5
0.001,2,routed,accuracy,0.7345635202271115
0.001,2,oracle,auc,0.8425275775659408
0.001,2,oracle,accuracy,0.7984386089425124
0.001,3,uda,auc,0.5338280503242141
0.001,3,uda,accuracy,0.5287437899219305
0.001,3,uda_cal,auc,
0.001,3,uda_cal,accuracy,
0.001,3,target_only,auc,0.5
0.001,3,target_only,accuracy,0.7345635202271115
0.001,3,target_only_cal,auc,
0.001,3,target_only_cal,accuracy,
0.001,3,vla,auc,0.4601643028753004
0.001,3,vla,accuracy,0.6713981547196594
0.001,3,vla_st,auc,0.4601643028753004
0.001,3,vla_st,accuracy,0.6713981547196594
0.001,3,routed,auc,0.5
0.001,3,routed,accuracy,0.7345635202271115
0.001,3,oracle,auc,0.8425275775659408
0.001,3,oracle,accuracy,0.7984386089425124
0.001,4,uda,auc,0.5338280503242141
0.001,4,uda,accuracy,0.5287437899219305
0.001,4,uda_cal,auc,
0.001,4,uda_cal,accuracy,
0.001,4,target_only,auc,0.5
0.001,4,target_only,accuracy,0.7345635202271115
0.001,4,target_only_cal,auc,
0.001,4,target_only_cal,accuracy,
0.001,4,vla,auc,0.6814474669973392
0.001,4,vla,accuracy,0.5706174591909156
0.001,4,vla_st,auc,0.6814474669973392
0.001,4,vla_st,accuracy,0.5706174591909156
0.001,4,routed,auc,0.5
0.001,4,routed,accuracy,0.7345635202271115
0.001,4,oracle,auc,0.8425275775659408
0.001,4,oracle,accuracy,0.7984386089425124
0.005,0,uda,auc,0.5338280503242141
0.005,0,uda,accuracy,0.5287437899219305
0.005,0,uda_cal,auc,
0.005,0,uda_cal,accuracy,
0.005,0,target_only,auc,0.6552571753339017
0.005,0,target_only,accuracy,0.6273953158268275
0.005,0,target_only_cal,auc,0.6552571753339017
0.005,0,target_only_cal,accuracy,0.6273953158268275
0.005,0,vla,auc,0.6512103128471415
0.005,0,vla,accuracy,0.6891412349183819
0.005,0,vla_st,auc,0.6847722751814823
0.005,0,vla_st,accuracy,0.7040454222853088
0.005,0,routed,auc,0.6512103128471415
0.005,0,routed,accuracy,0.6891412349183819
0.005,0,oracle,auc,0.8425275775659408
0.005,0,oracle,accuracy,0.7984386089425124
0.005,1,uda,auc,0.5338280503242141
0.005,1,uda,accuracy,0.5287437899219305
0.005,1,uda_cal,auc,
0.005,1,uda_cal,accuracy,
0.005,1,target_only,auc,0.7484732232814075
0.005,1,target_only,accuracy,0.7558552164655784
0.005,1,target_only_cal,auc,0.7484732232814075
0.005,1,target_only_cal,accuracy,0.7558552164655784
0.005,1,vla,auc,0.5626727634400269
0.005,1,vla,accuracy,0.6210078069552875
0.005,1,vla_st,auc,0.5347490247746003
0.005,1,vla_st,accuracy,0.5635202271114266
0.005,1,routed,auc,0.5626727634400269
0.005,1,routed,accuracy,0.6210078069552875
0.005,1,oracle,auc,0.8425275775659408
0.005,1,oracle,accuracy,0.7984386089425124
0.005,2,uda,auc,0.5338280503242141
0.005,2,uda,accuracy,0.5287437899219305
0.005,2,uda_cal,auc,
0.005,2,uda_cal,accuracy,
0.005,2,target_only,auc,0.7369694386318427
