fraction,seed,method,metric,value
0.001,0,uda,auc,0.5
0.001,0,uda,accuracy,0.7
0.001,0,uda_cal,auc,
0.001,0,uda_cal,accuracy,
0.001,0,target_only,auc,0.5
0.001,0,target_only,accuracy,0.7
0.001,0,target_only_cal,auc,
0.001,0,target_only_cal,accuracy,
0.001,0,vla,auc,0.6930357142857142
0.001,0,vla,accuracy,0.68
0.001,0,vla_st,auc,0.6930357142857142
0.001,0,vla_st,accuracy,0.68
0.001,0,routed,auc,0.5
0.001,0,routed,accuracy,0.7
0.001,0,oracle,auc,0.7636904761904761
0.001,0,oracle,accuracy,0.755
0.001,1,uda,auc,0.5
0.001,1,uda,accuracy,0.7
0.001,1,uda_cal,auc,
0.001,1,uda_cal,accuracy,
0.001,1,target_only,auc,0.5
0.001,1,target_only,accuracy,0.7
0.001,1,target_only_cal,auc,
0.001,1,target_only_cal,accuracy,
0.001,1,vla,auc,0.43380952380952387
0.001,1,vla,accuracy,0.665
0.001,1,vla_st,auc,0.43380952380952387
0.001,1,vla_st,accuracy,0.665
0.001,1,routed,auc,0.5
0.001,1,routed,accuracy,0.7
0.001,1,oracle,auc,0.7636904761904761
0.001,1,oracle,accuracy,0.755
0.001,2,uda,auc,0.5
0.001,2,uda,accuracy,0.7
0.001,2,uda_cal,auc,
0.001,2,uda_cal,accuracy,
0.001,2,target_only,auc,0.5
0.001,2,target_only,accuracy,0.7
0.001,2,target_only_cal,auc,
0.001,2,target_only_cal,accuracy,
0.001,2,vla,auc,0.41464285714285715
0.001,2,vla,accuracy,0.635
0.001,2,vla_st,auc,0.41464285714285715
0.001,2,vla_st,accuracy,0.635
0.001,2,routed,auc,0.5
0.001,2,routed,accuracy,0.7
0.001,2,oracle,auc,0.7636904761904761
0.001,2,oracle,accuracy,0.755
0.001,3,uda,auc,0.5
0.001,3,uda,accuracy,0.7
0.001,3,uda_cal,auc,
0.001,3,uda_cal,accuracy,
0.001,3,target_only,auc,0.5
0.001,3,target_only,accuracy,0.7
0.001,3,target_only_cal,auc,
0.001,3,target_only_cal,accuracy,
0.001,3,vla,auc,0.46130952380952384
0.001,3,vla,accuracy,0.665
0.001,3,vla_st,auc,0.46130952380952384
0.001,3,vla_st,accuracy,0.665
0.001,3,routed,auc,0.5
0.001,3,routed,accuracy,0.7
0.001,3,oracle,auc,0.7636904761904761
0.001,3,oracle,accuracy,0.755
0.001,4,uda,auc,0.5
0.001,4,uda,accuracy,0.7
0.001,4,uda_cal,auc,
0.001,4,uda_cal,accuracy,
0.001,4,target_only,auc,0.5
0.001,4,target_only,accuracy,0.7
0.001,4,target_only_cal,auc,
0.001,4,target_only_cal,accuracy,
0.001,4,vla,auc,0.6316666666666666
0.001,4,vla,accuracy,0.495
0.001,4,vla_st,auc,0.6316666666666666
0.001,4,vla_st,accuracy,0.495
0.001,4,routed,auc,0.5
0.001,4,routed,accuracy,0.7
0.001,4,oracle,auc,0.7636904761904761
0.001,4,oracle,accuracy,0.755
0.005,0,uda,auc,0.5
0.005,0,uda,accuracy,0.7
0.005,0,uda_cal,auc,
0.005,0,uda_cal,accuracy,
0.005,0,target_only,auc,0.5
0.005,0,target_only,accuracy,0.7
0.005,0,target_only_cal,auc,
0.005,0,target_only_cal,accuracy,
0.005,0,vla,auc,0.6930357142857142
0.005,0,vla,accuracy,0.68
0.005,0,vla_st,auc,0.6930357142857142
0.005,0,vla_st,accuracy,0.68
0.005,0,routed,auc,0.5
0.005,0,routed,accuracy,0.7
0.005,0,oracle,auc,0.7636904761904761
0.005,0,oracle,accuracy,0.755
0.005,1,uda,auc,0.5
0.005,1,uda,accuracy,0.7
0.005,1,uda_cal,auc,
0.005,1,uda_cal,accuracy,
