fraction,seed,method,metric,value
0.001,0,uda,auc,0.7544444444444445
0.001,0,uda,accuracy,0.35064935064935066
0.001,0,uda_cal,auc,
0.001,0,uda_cal,accuracy,
0.001,0,target_only,auc,0.5
0.001,0,target_only,accuracy,0.6493506493506493
0.001,0,target_only_cal,auc,
0.001,0,target_only_cal,accuracy,
0.001,0,vla,auc,0.6866666666666666
0.001,0,vla,accuracy,0.6753246753246753
0.001,0,vla_st,auc,0.6866666666666666
0.001,0,vla_st,accuracy,0.6753246753246753
0.001,0,routed,auc,0.5
0.001,0,routed,accuracy,0.6493506493506493
0.001,0,oracle,auc,0.8285185185185185
0.001,0,oracle,accuracy,0.7597402597402597
0.001,1,uda,auc,0.7544444444444445
0.001,1,uda,accuracy,0.35064935064935066
0.001,1,uda_cal,auc,
0.001,1,uda_cal,accuracy,
0.001,1,target_only,auc,0.5
0.001,1,target_only,accuracy,0.6493506493506493
0.001,1,target_only_cal,auc,
0.001,1,target_only_cal,accuracy,
0.001,1,vla,auc,0.7575925925925926
0.001,1,vla,accuracy,0.6428571428571429
0.001,1,vla_st,auc,0.7575925925925926
0.001,1,vla_st,accuracy,0.6428571428571429
0.001,1,routed,auc,0.5
0.001,1,routed,accuracy,0.6493506493506493
0.001,1,oracle,auc,0.8285185185185185
0.001,1,oracle,accuracy,0.7597402597402597
0.001,2,uda,auc,0.7544444444444445
0.001,2,uda,accuracy,0.35064935064935066
0.001,2,uda_cal,auc,
0.001,2,uda_cal,accuracy,
0.001,2,target_only,auc,0.5
0.001,2,target_only,accuracy,0.6493506493506493
0.001,2,target_only_cal,auc,
0.001,2,target_only_cal,accuracy,
0.001,2,vla,auc,0.6739814814814815
0.001,2,vla,accuracy,0.6753246753246753
0.001,2,vla_st,auc,0.6739814814814815
0.001,2,vla_st,accuracy,0.6753246753246753
0.001,2,routed,auc,0.5
0.001,2,routed,accuracy,0.6493506493506493
0.001,2,oracle,auc,0.8285185185185185
0.001,2,oracle,accuracy,0.7597402597402597
0.001,3,uda,auc,0.7544444444444445
0.001,3,uda,accuracy,0.35064935064935066
0.001,3,uda_cal,auc,
0.001,3,uda_cal,accuracy,
0.001,3,target_only,auc,0.5
0.001,3,target_only,accuracy,0.6493506493506493
0.001,3,target_only_cal,auc,
0.001,3,target_only_cal,accuracy,
0.001,3,vla,auc,0.702962962962963
0.001,3,vla,accuracy,0.7207792207792207
0.001,3,vla_st,auc,0.702962962962963
0.001,3,vla_st,accuracy,0.7207792207792207
0.001,3,routed,auc,0.5
0.001,3,routed,accuracy,0.6493506493506493
0.001,3,oracle,auc,0.8285185185185185
0.001,3,oracle,accuracy,0.7597402597402597
0.001,4,uda,auc,0.7544444444444445
0.001,4,uda,accuracy,0.35064935064935066
0.001,4,uda_cal,auc,
0.001,4,uda_cal,accuracy,
0.001,4,target_only,auc,0.5
0.001,4,target_only,accuracy,0.6493506493506493
0.001,4,target_only_cal,auc,
0.001,4,target_only_cal,accuracy,
0.001,4,vla,auc,0.6629629629629631
0.001,4,vla,accuracy,0.6428571428571429
0.001,4,vla_st,auc,0.6629629629629631
0.001,4,vla_st,accuracy,0.6428571428571429
0.001,4,routed,auc,0.5
0.001,4,routed,accuracy,0.6493506493506493
0.001,4,oracle,auc,0.8285185185185185
