fraction,seed,method,auc
0.001,0,uda,0.6503441297806947
0.001,0,target_only,0.7660389757424997
0.001,0,vla,0.7599898536164881
0.001,0,vla_st,0.800271911336218
0.001,0,routed,0.7599898536164881
0.001,0,oracle,0.9264249630964727
0.001,1,uda,0.6503441297806947
0.001,1,target_only,0.8191876815030185
0.001,1,vla,0.8076229166904094
0.001,1,vla_st,0.8213440757909752
0.001,1,routed,0.8076229166904094
0.001,1,oracle,0.9264249630964727
0.001,2,uda,0.6503441297806947
0.001,2,target_only,0.8192708245197132
0.001,2,vla,0.8026459336934874
0.001,2,vla_st,0.8026459336934874
0.001,2,routed,0.8026459336934874
0.001,2,oracle,0.9264249630964727
0.001,3,uda,0.6503441297806947
0.001,3,target_only,0.7917340243096481
0.001,3,vla,0.8164053115293147
0.001,3,vla_st,0.8262747531063946
0.001,3,routed,0.8164053115293147
0.001,3,oracle,0.9264249630964727
0.001,4,uda,0.6503441297806947
0.001,4,target_only,0.7583273961909505
0.001,4,vla,0.7425474617406861
0.001,4,vla_st,0.7425474617406861
0.001,4,routed,0.7425474617406861
0.001,4,oracle,0.9264249630964727
0.005,0,uda,0.6503441297806947
0.005,0,target_only,0.8584692602222741
0.005,0,vla,0.8596561418946523
0.005,0,vla_st,0.8596561418946523
0.005,0,routed,0.8596561418946523
0.005,0,oracle,0.9264249630964727
0.005,1,uda,0.6503441297806947
0.005,1,target_only,0.8586494178146966
0.005,1,vla,0.8521951137807434
0.005,1,vla_st,0.858764822278852
0.005,1,routed,0.8521951137807434
0.005,1,oracle,0.9264249630964727
0.005,2,uda,0.6503441297806947
0.005,2,target_only,0.8447224876620829
0.005,2,vla,0.8590347420966361
0.005,2,vla_st,0.8590451601554949
0.005,2,routed,0.8590347420966361
0.005,2,oracle,0.9264249630964727
0.005,3,uda,0.6503441297806947
0.005,3,target_only,0.8430548499862839
0.005,3,vla,0.8460101252020441
0.005,3,vla_st,0.8460101252020441
0.005,3,routed,0.8460101252020441
0.005,3,oracle,0.9264249630964727
0.005,4,uda,0.6503441297806947
0.005,4,target_only,0.8450531027454291
0.005,4,vla,0.8498912550353471
0.005,4,vla_st,0.8498912550353471
0.005,4,routed,0.8498912550353471
0.005,4,oracle,0.9264249630964727
0.01,0,uda,0.6503441297806947
0.01,0,target_only,0.8832046674285088
0.01,0,vla,0.8713738679858116
0.01,0,vla_st,0.8806514371913648
0.01,0,routed,0.8713738679858116
0.01,0,oracle,0.9264249630964727
0.01,1,uda,0.6503441297806947
0.01,1,target_only,0.8906145549606708
0.01,1,vla,0.8779630887599045
0.01,1,vla_st,0.8779630887599045
0.01,1,routed,0.8779630887599045
0.01,1,oracle,0.9264249630964727
0.01,2,uda,0.6503441297806947
0.01,2,target_only,0.8795129620797624
0.01,2,vla,0.8771000878455327
0.01,2,vla_st,0.8802912371231928
0.01,2,routed,0.8771000878455327
0.01,2,oracle,0.9264249630964727
0.01,3,uda,0.6503441297806947
0.01,3,target_only,0.8706121697432173
0.01,3,vla,0.8609801275239475
0.01,3,vla_st,0.8722375020418821
0.01,3,routed,0.8609801275239475
0.01,3,oracle,0.9264249630964727
0.01,4,uda,0.6503441297806947
0.01,4,target_only,0.8729994592969893
0.01,4,vla,0.8684201180659616
0.01,4,vla_st,0.8781707880162162
0.01,4,routed,0.8684201180659616
0.01,4,oracle,0.9264249630964727
0.05,0,uda,0.6503441297806947
0.05,0,target_only,0.9076680251585185
0.05,0,vla,0.9067774825802574
