fraction,seed,method,auc
0.001,0,uda,0.5777067348678602
0.001,0,target_only,0.6788963806866619
0.001,0,vla,0.616612415717275
0.001,0,vla_st,0.6596062931101294
0.001,0,routed,0.6788963806866619
0.001,0,oracle,0.8425275775659408
0.001,1,uda,0.5777067348678602
0.001,1,target_only,0.6084347309411249
0.001,1,vla,0.6300847348161926
0.001,1,vla_st,0.6300847348161926
0.001,1,routed,0.6084347309411249
0.001,1,oracle,0.8425275775659408
0.001,2,uda,0.5777067348678602
0.001,2,target_only,0.523800666511664
0.001,2,vla,0.47462218088816555
0.001,2,vla_st,0.4312446717817562
0.001,2,routed,0.523800666511664
0.001,2,oracle,0.8425275775659408
0.001,3,uda,0.5777067348678602
0.001,3,target_only,0.5555891394766075
0.001,3,vla,0.609022449559534
0.001,3,vla_st,0.6119687927872072
0.001,3,routed,0.5555891394766075
0.001,3,oracle,0.8425275775659408
0.001,4,uda,0.5777067348678602
0.001,4,target_only,0.5553023844583946
0.001,4,vla,0.567791728021907
0.001,4,vla_st,0.5873982794698906
0.001,4,routed,0.5553023844583946
0.001,4,oracle,0.8425275775659408
0.005,0,uda,0.5777067348678602
0.005,0,target_only,0.6806104523495827
0.005,0,vla,0.700428840838048
0.005,0,vla_st,0.700428840838048
0.005,0,routed,0.6806104523495827
0.005,0,oracle,0.8425275775659408
0.005,1,uda,0.5777067348678602
0.005,1,target_only,0.7651011392699373
0.005,1,vla,0.7330749954790877
0.005,1,vla_st,0.7283861634245266
0.005,1,routed,0.7651011392699373
0.005,1,oracle,0.8425275775659408
0.005,2,uda,0.5777067348678602
0.005,2,target_only,0.7216538789428815
0.005,2,vla,0.714337750910641
0.005,2,vla_st,0.7266746751401483
0.005,2,routed,0.7216538789428815
0.005,2,oracle,0.8425275775659408
0.005,3,uda,0.5777067348678602
0.005,3,target_only,0.6708336562556512
0.005,3,vla,0.7197770544317859
0.005,3,vla_st,0.7197770544317859
0.005,3,routed,0.6708336562556512
0.005,3,oracle,0.8425275775659408
0.005,4,uda,0.5777067348678602
0.005,4,target_only,0.6260611227363146
0.005,4,vla,0.5933542586995273
0.005,4,vla_st,0.6247423079903899
0.005,4,routed,0.6260611227363146
0.005,4,oracle,0.8425275775659408
0.01,0,uda,0.5777067348678602
0.01,0,target_only,0.7928349996124933
0.01,0,vla,0.7646167557932264
0.01,0,vla_st,0.8053424268258028
0.01,0,routed,0.7928349996124933
0.01,0,oracle,0.8425275775659408
0.01,1,uda,0.5777067348678602
0.01,1,target_only,0.7084618564158206
0.01,1,vla,0.7031039293187631
0.01,1,vla_st,0.7246053889276396
0.01,1,routed,0.7084618564158206
0.01,1,oracle,0.8425275775659408
0.01,2,uda,0.5777067348678602
0.01,2,target_only,0.7683691131261464
0.01,2,vla,0.764919011082694
0.01,2,vla_st,0.766454829626185
0.01,2,routed,0.7683691131261464
0.01,2,oracle,0.8425275775659408
0.01,3,uda,0.5777067348678602
0.01,3,target_only,0.7574491720271772
0.01,3,vla,0.7556395153581854
0.01,3,vla_st,0.759462915601023
0.01,3,routed,0.7574491720271772
0.01,3,oracle,0.8425275775659408
0.01,4,uda,0.5777067348678602
0.01,4,target_only,0.7141530393448552
0.01,4,vla,0.7004288408380481
0.01,4,vla_st,0.7363804283241624
0.01,4,routed,0.7141530393448552
0.01,4,oracle,0.8425275775659408
0.05,0,uda,0.5777067348678602
0.05,0,target_only,0.8109741920483607
0.05,0,vla,0.8067968689452065
0.05,0,vla_st,0.8149551783822884
0.05,0,routed,0.8109741920483607
0.05,0,oracle,0.8425275775659408
0.05,1,uda,0.5777067348678602
0.05,1,target_only,0.7981761347490248
0.05,1,vla,0.7937637241985069
0.05,1,vla_st,0.8114159497791211
0.05,1,routed,0.7981761347490248
0.05,1,oracle,0.8425275775659408
0.05,2,uda,0.5777067348678602
0.05,2,target_only,0.795056705159007
0.05,2,vla,0.7893913560153969
0.05,2,vla_st,0.7893913560153969
0.05,2,routed,0.795056705159007
0.05,2,oracle,0.8425275775659408
0.05,3,uda,0.5777067348678602
0.05,3,target_only,0.8097457955514222
0.05,3,vla,0.809422873233615
0.05,3,vla_st,0.8208207393629389
0.05,3,routed,0.8097457955514222
0.05,3,oracle,0.8425275775659408
0.05,4,uda,0.5777067348678602
0.05,4,target_only,0.8076209667002506
0.05,4,vla,0.8053359683794465
0.05,4,vla_st,0.8131661887416363
0.05,4,routed,0.8076209667002506
0.05,4,oracle,0.8425275775659408
0.1,0,uda,0.5777067348678602
0.1,0,target_only,0.8106822702730632
0.1,0,vla,0.8053889276395669
0.1,0,vla_st,0.8129466015655274
0.1,0,routed,0.8106822702730632
0.1,0,oracle,0.8425275775659408
0.1,1,uda,0.5777067348678602
0.1,1,target_only,0.8172685938670594
0.1,1,vla,0.8095972512852309
0.1,1,vla_st,0.8146774651889741
0.1,1,routed,0.8172685938670594
0.1,1,oracle,0.8425275775659408
0.1,2,uda,0.5777067348678602
0.1,2,target_only,0.8187191609186494
0.1,2,vla,0.8136324885685499
0.1,2,vla_st,0.8136324885685499
0.1,2,routed,0.8187191609186494
0.1,2,oracle,0.8425275775659408
0.1,3,uda,0.5777067348678602
0.1,3,target_only,0.8244426360794647
0.1,3,vla,0.8200793097212534
0.1,3,vla_st,0.8281484925986204
0.1,3,routed,0.8244426360794647
0.1,3,oracle,0.8425275775659408
0.1,4,uda,0.5777067348678602
0.1,4,target_only,0.822170554651373
0.1,4,vla,0.8260908315895529
0.1,4,vla_st,0.8276537756077398
0.1,4,routed,0.822170554651373
0.1,4,oracle,0.8425275775659408
0.25,0,uda,0.5777067348678602
0.25,0,target_only,0.8176716009196827
0.25,0,vla,0.8176987263943786
0.25,0,vla_st,0.8197228034823942
0.25,0,routed,0.8176716009196827
0.25,0,oracle,0.8425275775659408
0.25,1,uda,0.5777067348678602
0.25,1,target_only,0.8331202046035806
0.25,1,vla,0.8307964556046397
0.25,1,vla_st,0.8354413702239789
0.25,1,routed,0.8331202046035806
0.25,1,oracle,0.8425275775659408
0.25,2,uda,0.5777067348678602
0.25,2,target_only,0.8333359167118757
0.25,2,vla,0.8335102947634917
0.25,2,vla_st,0.8381061251905241
0.25,2,routed,0.8333359167118757
0.25,2,oracle,0.8425275775659408
0.25,3,uda,0.5777067348678602
0.25,3,target_only,0.8346146890903925
0.25,3,vla,0.8315223849750705
0.25,3,vla_st,0.8365754734041179
0.25,3,routed,0.8346146890903925
0.25,3,oracle,0.8425275775659408
0.25,4,uda,0.5777067348678602
