fraction,seed,method,auc
0.001,0,uda,0.6974273218420376
0.001,0,target_only,0.48784409570362747
0.001,0,vla,0.6516336506303062
0.001,0,vla_st,0.807332132750193
0.001,0,routed,0.48784409570362747
0.001,0,oracle,0.9153331618214562
0.001,1,uda,0.6974273218420376
0.001,1,target_only,0.8715719063545151
0.001,1,vla,0.8731283766400824
0.001,1,vla_st,0.8731283766400824
0.001,1,routed,0.8715719063545151
0.001,1,oracle,0.9153331618214562
0.001,2,uda,0.6974273218420376
0.001,2,target_only,0.7738358631335219
0.001,2,vla,0.7884744018523282
0.001,2,vla_st,0.8298430666323642
0.001,2,routed,0.7738358631335219
0.001,2,oracle,0.9153331618214562
0.001,3,uda,0.6974273218420376
0.001,3,target_only,0.7882814509904811
0.001,3,vla,0.7834448160535117
0.001,3,vla_st,0.7834448160535117
0.001,3,routed,0.7882814509904811
0.001,3,oracle,0.9153331618214562
0.001,4,uda,0.6974273218420376
0.001,4,target_only,0.8031129405711346
0.001,4,vla,0.7000514535631592
0.001,4,vla_st,0.7493311036789299
0.001,4,routed,0.8031129405711346
0.001,4,oracle,0.9153331618214562
0.005,0,uda,0.6974273218420376
0.005,0,target_only,0.48784409570362747
0.005,0,vla,0.6516336506303062
0.005,0,vla_st,0.807332132750193
0.005,0,routed,0.48784409570362747
0.005,0,oracle,0.9153331618214562
0.005,1,uda,0.6974273218420376
0.005,1,target_only,0.8715719063545151
0.005,1,vla,0.8731283766400824
0.005,1,vla_st,0.8731283766400824
0.005,1,routed,0.8715719063545151
0.005,1,oracle,0.9153331618214562
0.005,2,uda,0.6974273218420376
0.005,2,target_only,0.7738358631335219
0.005,2,vla,0.7884744018523282
0.005,2,vla_st,0.8298430666323642
0.005,2,routed,0.7738358631335219
0.005,2,oracle,0.9153331618214562
0.005,3,uda,0.6974273218420376
0.005,3,target_only,0.7882814509904811
0.005,3,vla,0.7834448160535117
0.005,3,vla_st,0.7834448160535117
0.005,3,routed,0.7882814509904811
